scenario_id,scenario_role,scheduled_event_rows,capacity_selected_trade_rows,diagnostic_trade_dates,symbols,positive_trade_rows,positive_symbols,positive_symbol_date_cells,net_pnl_inr,annualized_return_pct,above12,event_floor_met,breadth_met,acceptance_candidate
P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,16,12,8,7,6,3,4,3106.7317368701815,39.144819884564285,1,0,1,0
P362_D120_I5p0_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,15,11,8,6,5,2,3,2741.1492433021813,34.538480465607485,1,0,1,0
P362_D60_I5p0_D0p15_R0p0_REVERSAL_CONTROL,impulse_reversal_control,14,8,5,6,5,3,5,1608.8845430870497,32.43511238863492,1,0,1,0
P362_D60_I5p0_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,14,8,5,6,5,3,5,1608.8845430870497,32.43511238863492,1,0,1,0
P362_D120_I2p5_D0p15_R0p0_REVERSAL_CONTROL,impulse_reversal_control,23,16,8,9,7,4,5,2447.7697753565785,30.84189916949289,1,0,1,0
P362_D120_I5p0_D0p15_R0p0_REVERSAL_CONTROL,impulse_reversal_control,19,15,8,9,6,3,4,2082.1872817885783,26.235559750536087,1,0,1,0
P362_D60_I2p5_D0p15_R0p0_REVERSAL_CONTROL,impulse_reversal_control,16,10,6,8,5,3,5,1074.9850583080636,18.059748979575467,1,0,1,0
P362_D60_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,16,10,6,8,5,3,5,1074.9850583080636,18.059748979575467,1,0,1,0
P362_D120_I2p5_D0p25_R0p1_REVERSAL_CONTROL,impulse_reversal_control,9,9,8,7,3,2,3,-289.08031218260317,-3.6424119335008,0,0,1,0
P362_D120_I5p0_D0p25_R0p1_REVERSAL_CONTROL,impulse_reversal_control,8,8,7,6,2,1,2,-654.6628057506032,-9.427144402808684,0,0,0,0
P362_D120_I2p5_D0p15_R0p1_REVERSAL_CONTROL,impulse_reversal_control,16,13,8,9,4,3,4,-948.0422736962057,-11.945332648572192,0,0,1,0
P362_D120_I5p0_D0p15_R0p1_REVERSAL_CONTROL,impulse_reversal_control,12,12,7,9,3,2,3,-1313.6247672642057,-18.916196648604565,0,0,1,0
P362_D60_I2p5_D0p15_R0p1_CONTINUATION,impulse_continuation,12,8,6,7,3,3,3,-1506.0655539491863,-25.30190130634633,0,0,1,0
P362_D60_I2p5_D0p25_R0p1_CONTINUATION,impulse_continuation,12,8,6,7,3,3,3,-1506.0655539491863,-25.30190130634633,0,0,1,0
P362_D60_I2p5_D0p15_R0p1_REVERSAL_CONTROL,impulse_reversal_control,12,8,6,7,3,2,3,-1661.172343017723,-27.907695362697748,0,0,1,0
P362_D60_I2p5_D0p25_R0p1_REVERSAL_CONTROL,impulse_reversal_control,12,8,6,7,3,2,3,-1661.172343017723,-27.907695362697748,0,0,1,0
P362_D60_I5p0_D0p15_R0p1_REVERSAL_CONTROL,impulse_reversal_control,10,6,4,5,3,2,3,-1127.2728582387374,-28.40727602761618,0,0,1,0
P362_D60_I5p0_D0p25_R0p1_REVERSAL_CONTROL,impulse_reversal_control,10,6,4,5,3,2,3,-1127.2728582387374,-28.40727602761618,0,0,1,0
P362_D60_I5p0_D0p15_R0p1_CONTINUATION,impulse_continuation,10,6,4,5,3,3,3,-1285.6759458241718,-32.39903383476913,0,0,1,0
P362_D60_I5p0_D0p25_R0p1_CONTINUATION,impulse_continuation,10,6,4,5,3,3,3,-1285.6759458241718,-32.39903383476913,0,0,1,0
P362_D120_I5p0_D0p25_R0p1_CONTINUATION,impulse_continuation,8,8,7,6,2,1,2,-2494.9617716959883,-35.927449512422236,0,0,0,0
P362_D120_I2p5_D0p25_R0p1_CONTINUATION,impulse_continuation,9,9,8,7,2,1,2,-3241.4084456479886,-40.84174641516466,0,0,0,0
P362_D120_I5p0_D0p15_R0p1_CONTINUATION,impulse_continuation,12,12,7,9,3,2,3,-3422.130186067174,-49.2786746793673,0,0,1,0
P362_D120_I2p5_D0p15_R0p1_CONTINUATION,impulse_continuation,16,13,8,9,3,2,3,-4168.576860019174,-52.5240684362416,0,0,1,0
P362_D60_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,16,10,6,8,3,3,3,-5010.3355359075495,-84.17363700324684,0,0,1,0
P362_D60_I2p5_D0p25_R0p0_CONTINUATION,impulse_continuation,16,10,6,8,3,3,3,-5010.3355359075495,-84.17363700324684,0,0,1,0
P362_D120_I5p0_D0p25_R0p0_CONTINUATION,impulse_continuation,15,11,8,6,2,1,2,-7121.192753779369,-89.72702869762004,0,0,0,0
P362_D60_I5p0_D0p15_R0p0_CONTINUATION,impulse_continuation,14,8,5,6,3,3,3,-4789.945927782535,-96.56530990409591,0,0,1,0
P362_D60_I5p0_D0p25_R0p0_CONTINUATION,impulse_continuation,14,8,5,6,3,3,3,-4789.945927782535,-96.56530990409591,0,0,1,0
P362_D120_I2p5_D0p25_R0p0_CONTINUATION,impulse_continuation,16,12,8,7,2,1,2,-7867.639427731369,-99.13225678941524,0,0,0,0
P362_D120_I5p0_D0p15_R0p0_CONTINUATION,impulse_continuation,19,15,8,9,3,2,3,-8048.361168150554,-101.40935071869697,0,0,1,0
P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,23,16,8,9,3,2,3,-8794.807842102553,-110.81457881049216,0,0,1,0
