trade_date,symbol,parquet_files,bytes
2026-07-22,ADANIPORTS,1563,54595588
2026-07-22,AXISBANK,1563,54875804
2026-07-22,BAJAJ-AUTO,1563,55793489
2026-07-22,BANKBEES,1564,54549301
2026-07-22,BHARTIARTL,1563,54507329
2026-07-22,BPCL,1562,54348573
2026-07-22,BRITANNIA,1561,54059517
2026-07-22,CIPLA,1563,54417824
2026-07-22,DRREDDY,1563,54670142
2026-07-22,GOLDBEES,1564,54336697
2026-07-22,HCLTECH,1562,54201722
2026-07-22,HDFCBANK,1563,56023854
2026-07-22,HINDUNILVR,1563,54561554
2026-07-22,ICICIBANK,1563,55329624
2026-07-22,INFY,1563,55586087
2026-07-22,ITBEES,1564,53949001
2026-07-22,ITC,1563,55574496
2026-07-22,JUNIORBEES,1564,55074141
2026-07-22,KOTAKBANK,1563,54537459
2026-07-22,LT,1563,54616945
2026-07-22,M&M,1563,55409060
2026-07-22,MARUTI,1563,54901845
2026-07-22,NESTLEIND,1563,55483367
2026-07-22,NIFTYBEES,1564,54525362
2026-07-22,ONGC,1563,54633837
2026-07-22,RELIANCE,1563,55611479
2026-07-22,SBIN,1563,55165912
2026-07-22,SUNPHARMA,1563,54683152
2026-07-22,TCS,1563,54831882
2026-07-22,TECHM,1564,54387543
2026-07-22,ULTRACEMCO,1563,54418371
2026-07-22,WIPRO,1563,54222883
