trade_date,symbol,parquet_files,bytes
2026-07-23,ADANIPORTS,1560,54960177
2026-07-23,AXISBANK,1560,55868963
2026-07-23,BAJAJ-AUTO,1560,55556158
2026-07-23,BANKBEES,1561,54582202
2026-07-23,BHARTIARTL,1560,54657802
2026-07-23,BPCL,1560,54296854
2026-07-23,BRITANNIA,1560,54309861
2026-07-23,CIPLA,1560,55350281
2026-07-23,DRREDDY,1560,55641468
2026-07-23,GOLDBEES,1561,54230450
2026-07-23,HCLTECH,1560,54293713
2026-07-23,HDFCBANK,1560,56142322
2026-07-23,HINDUNILVR,1560,54434671
2026-07-23,ICICIBANK,1560,55464566
2026-07-23,INFY,1560,56133729
2026-07-23,ITBEES,1561,53898409
2026-07-23,ITC,1560,55700537
2026-07-23,JUNIORBEES,1561,54612583
2026-07-23,KOTAKBANK,1560,54579857
2026-07-23,LT,1560,54917400
2026-07-23,M&M,1560,55334076
2026-07-23,MARUTI,1561,54898758
2026-07-23,NESTLEIND,1560,55389805
2026-07-23,NIFTYBEES,1561,54537997
2026-07-23,ONGC,1561,54429810
2026-07-23,RELIANCE,1560,55265991
2026-07-23,SBIN,1560,55137882
2026-07-23,SUNPHARMA,1561,55134753
2026-07-23,TCS,1560,55431312
2026-07-23,TECHM,1560,54524647
2026-07-23,ULTRACEMCO,1560,54232425
2026-07-23,WIPRO,1561,54430877
