trade_date,exchange,symbol,relative_file,share,file_path_redacted
2026-08-04,NSE,ADANIPORTS,part-034500_792939-000001.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034528_739995-000062.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034542_490377-000094.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034556_239555-000126.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034609_991501-000158.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034623_741346-000190.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034637_490440-000222.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034651_239521-000254.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034704_990968-000286.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034718_739623-000318.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034732_491304-000350.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034746_239070-000382.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034759_989387-000414.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034813_739194-000446.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034827_488430-000478.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034841_240679-000510.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034854_738314-000542.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034908_488533-000574.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034922_238403-000606.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034935_987605-000638.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-034949_740134-000670.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035003_488161-000702.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035017_237371-000734.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035031_237192-000766.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035044_987704-000798.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035058_741101-000830.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035112_738039-000862.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035126_738005-000894.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035140_487768-000926.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035154_239413-000958.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035207_988972-000990.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035221_737653-001022.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035235_490578-001054.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035248_987435-001086.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035302_738612-001118.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035316_738511-001150.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035330_487891-001182.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035344_242271-001214.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035358_238179-001246.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035411_987181-001278.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035425_989641-001310.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035439_739248-001342.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-08-04,NSE,ADANIPORTS,part-035453_742220-001374.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-08-04/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
