source_phase,model_id,model_type,execution_profile,observed_source_days,synthetic_year_days,annualized_trades,annualized_net_pnl_inr,mean_daily_net_pnl_inr,worst_daily_net_pnl_inr,max_drawdown_inr,annualized_sharpe_proxy,positive_days,positive_day_fraction,mean_net_return,mean_market_shock_trade_fraction,mean_disconnect_trade_fraction,synthetic_full_year_acceptance_ready,experiment_scope
phase26_strategy_salvage,S07_q50_sp050_liqall,strategy_variant,zero_latency_spread_only_control,5,252,135185,1185737.541758729,4705.307705391781,-8203.196010770795,-8203.1960107708,8.78274069244175,151,0.5992063492063492,8.972525447779219e-05,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q50_sp080_liqall,strategy_variant,zero_latency_spread_only_control,6,252,136206,877990.3046735983,3484.088510609517,-8203.196010770795,-8203.1960107708,6.700070390727603,126,0.5,6.639718967544871e-05,0.16666666666666666,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q50_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,5,252,96904,572408.0477311951,2271.460506869822,-9067.994915412644,-9067.994915412652,3.791049092425361,151,0.5992063492063492,5.022802566238958e-05,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q70_sp050_liqall,strategy_variant,zero_latency_spread_only_control,5,252,45253,561039.8240708245,2226.3485082175575,-3961.6825952943655,-3961.6825952943764,8.901043882400531,151,0.5992063492063492,0.00013203903666480815,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q50_sp080_liqall,strategy_variant,zero_latency_spread_only_control,8,252,174657,521014.4065869043,2067.5174864559694,-16691.41785540016,-27812.891856567818,2.5573301667340718,127,0.503968253968254,3.200199404753763e-05,0.125,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q50_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,7,252,64620,488720.0422474522,1939.3652470136992,-7803.591151427637,-7803.591151427652,5.511140442183478,144,0.5714285714285714,5.251649962287385e-05,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q50_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,8,252,56890,476726.11362854106,1891.7702921767502,-7803.591151427637,-7803.591151427652,5.779354520160054,158,0.626984126984127,0.00017246421203429585,0.125,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q50_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,8,252,56890,476726.11362854106,1891.7702921767502,-7803.591151427637,-7803.591151427652,5.779354520160054,158,0.626984126984127,0.00017246421203429585,0.125,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q50_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,6,252,81606,443997.0742073411,1761.893151616433,-9067.994915412644,-9067.994915412652,3.186894271100713,126,0.5,-3.806032776619292e-05,0.16666666666666666,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q50_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,6,252,81606,443997.0742073411,1761.893151616433,-9067.994915412644,-9067.994915412652,3.186894271100713,126,0.5,-3.806032776619292e-05,0.16666666666666666,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q70_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,5,252,24852,343604.66821805085,1363.5105881668685,-3999.393849249069,-3999.3938492490706,6.396610540712754,151,0.5992063492063492,0.000138486061523197,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q70_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,6,252,20916,306001.0769844938,1214.2899880337056,-3999.393849249069,-3999.3938492490706,6.192594751897486,168,0.6666666666666666,0.0002697512588921898,0.16666666666666666,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q70_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,6,252,20916,306001.0769844938,1214.2899880337056,-3999.393849249069,-3999.3938492490706,6.192594751897486,168,0.6666666666666666,0.0002697512588921898,0.16666666666666666,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S07_q70_sp080_liqall,strategy_variant,zero_latency_spread_only_control,6,252,44394,168302.9384599994,667.868803412696,-7185.940715111752,-7185.940715111763,2.1008552798315128,126,0.5,3.470820439979556e-05,0.16666666666666666,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q70_sp080_liqall,strategy_variant,zero_latency_spread_only_control,8,252,46789,154444.43329988507,612.8747353170043,-1540.4563964841705,-3282.7466117845033,4.125089574892805,63,0.25,-0.0001091207660059239,0.125,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q50_sp080_liqall,strategy_variant,zero_latency_spread_only_control,8,252,138840,128945.13832303055,511.6870568374228,-11713.142688562215,-19384.04051700933,0.8695878436871736,158,0.626984126984127,-4.07577751522782e-06,0.125,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q70_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,7,252,28944,7106.309465543016,28.199640736281808,-5867.126067322132,-7198.263709499779,0.10220925215684776,108,0.42857142857142855,-8.35208951333373e-05,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q70_sp080_liqmed,strategy_variant,zero_latency_spread_only_control,8,252,25460,-14714.864644501284,-58.39232001786224,-5867.126067322132,-19041.879449128457,-0.22633467597835993,94,0.373015873015873,-0.00021607800500993688,0.125,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q70_sp100_liqmed,strategy_variant,zero_latency_spread_only_control,8,252,25460,-14714.864644501284,-58.39232001786224,-5867.126067322132,-19041.879449128457,-0.22633467597835993,94,0.373015873015873,-0.00021607800500993688,0.125,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q85_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q95_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q85_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q95_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q70_sp050_liqall,strategy_variant,zero_latency_spread_only_control,7,252,4104,-47968.46334239839,-190.35104500951743,-1540.4563964841705,-49743.227363476624,-2.6557601681082,36,0.14285714285714285,-0.00013119789521236135,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q70_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,7,252,4104,-47968.46334239839,-190.35104500951743,-1540.4563964841705,-49743.227363476624,-2.6557601681082,36,0.14285714285714285,-0.00013119789521236135,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q85_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q95_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q85_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q95_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q50_sp050_liqall,strategy_variant,zero_latency_spread_only_control,7,252,109368,-200080.1593902433,-793.9688864692195,-11713.142688562215,-213906.41770196817,-1.3522236141752166,144,0.5714285714285714,-1.4493424346503862e-05,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q50_sp050_liqmed,strategy_variant,zero_latency_spread_only_control,7,252,109368,-200080.1593902433,-793.9688864692195,-11713.142688562215,-213906.41770196817,-1.3522236141752166,144,0.5714285714285714,-1.4493424346503862e-05,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S01_q95_sp050_liqall,strategy_variant,stressed_retail,6,252,3276,-220829.96786021278,-876.3093962706856,-2874.19999377432,-220415.77504556288,-13.596641885352808,42,0.16666666666666666,-0.0010248116034213008,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S01_q95_sp050_liqmed,strategy_variant,stressed_retail,5,252,3835,-246636.7424244394,-978.7172318430136,-2874.19999377432,-246222.5496097898,-13.81117622124472,50,0.1984126984126984,-0.000858533296198466,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q50_sp050_liqall,strategy_variant,zero_latency_spread_only_control,7,252,91944,-250463.9572005167,-993.9045920655425,-9433.180332375909,-261755.87864503157,-2.3377402948000348,72,0.2857142857142857,-2.782415208975358e-05,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
