scenario_id,pair_id,leg_a,leg_b,trade_date,entry_ts_ms,exit_ts_ms,entry_zscore,exit_zscore,side_a,side_b,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b,quantity_a,quantity_b,gross_pnl_inr,cost100_inr,cost200_inr,net_pnl_inr,net_pnl_cost100_inr
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784020989.0,1784020990.0,-4.340085600754882,-0.26792478344061343,long,short,convergence,815.65,1408.4,815.55,1402.4,61,35,203.89999999999418,104.4170484672,208.8340969344,-4.934096934405829,99.48295153279417
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021049.0,1784021050.0,-2.106447914000239,-0.13421413753919562,long,short,convergence,815.65,1408.4,815.55,1403.5,61,35,165.39999999999418,104.4332725982,208.8665451964,-43.46654519640583,60.966727401794174
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021482.0,1784021486.0,2.361506511548985,3.761965549531967,short,long,stop_zscore,822.65,1408.6,822.75,1402.2,60,35,-230.0,104.106885412,208.213770824,-438.213770824,-334.106885412
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021492.0,1784021492.0,2.9668074320895994,0.16884198841506287,short,long,convergence,822.65,1403.5,815.65,1403.3,60,35,413.0,103.86721461599998,207.73442923199997,205.26557076800003,309.13278538400004
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021512.0,1784021512.0,2.2841509882537707,0.21083021993637313,short,long,convergence,822.65,1402.4,815.65,1402.2,60,35,413.0,103.83592135399999,207.67184270799999,205.32815729200001,309.164078646
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021532.0,1784021532.0,1.7996296162115644,0.31305665569528207,short,long,convergence,822.65,1402.4,816.55,1402.2,60,35,359.0,103.858677278,207.717354556,151.282645444,255.14132272199998
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021642.0,1784021642.0,1.7909562497275449,0.1841994790862828,short,long,convergence,822.65,1402.4,815.65,1402.2,60,35,413.0,103.83592135399999,207.67184270799999,205.32815729200001,309.164078646
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021682.0,1784021682.0,1.850756554895774,0.23738801443199073,short,long,convergence,822.65,1402.4,815.65,1402.2,60,35,413.0,103.83592135399999,207.67184270799999,205.32815729200001,309.164078646
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021702.0,1784021702.0,1.7630467334451112,0.15793024303935846,short,long,convergence,822.65,1402.4,815.65,1402.2,60,35,413.0,103.83592135399999,207.67184270799999,205.32815729200001,309.164078646
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021742.0,1784021742.0,1.8507565548957827,0.23738801443199184,short,long,convergence,822.65,1402.4,815.65,1402.2,60,35,413.0,103.83592135399999,207.67184270799999,205.32815729200001,309.164078646
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021762.0,1784021762.0,1.9164029873365995,0.291831094753331,short,long,convergence,822.65,1402.4,815.65,1402.2,60,35,413.0,103.83592135399999,207.67184270799999,205.32815729200001,309.164078646
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-01-01,1784021772.0,1784021772.0,1.9303340610453408,0.2918310947533308,short,long,convergence,822.65,1402.4,815.65,1402.2,60,35,413.0,103.83592135399999,207.67184270799999,205.32815729200001,309.164078646
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-02-02,1786613475.0,1786613475.0,5.239348337746283,3.7880337455818904,short,long,stop_zscore,825.0,1402.4,823.8,1402.2,60,35,65.0,104.097177134,208.194354268,-143.194354268,-39.097177134000006
