parameter_id,value,status
P421_LOOKBACK_TICKS,240.0,same_as_phase417
P421_ENTRY_ZSCORE,1.75,same_as_phase417
P421_EXIT_ZSCORE,0.35,same_as_phase417
P421_STOP_ZSCORE,3.25,same_as_phase417
P421_MAX_HOLD_TICKS,360.0,same_as_phase417
P421_MIN_FORWARD_HOLD_MS,250.0,new_repair
P421_MIN_FORWARD_TICKS_AFTER_ENTRY,3.0,new_repair
P421_MIN_L2_L5_EDGE_DELTA_VS_REMOVED_PCT,5.0,new_repair
P421_REQUIRE_REAL_ANCHOR_PAIR_DATES,5.0,new_repair
P421_ALIGN_TOLERANCE_MS,1000.0,same_as_phase418
P421_MAX_ROWS_PER_SYMBOL_MONTH,25000.0,bounded_execution
