strategy_id,execution_profile,variants,positive_rows,candidate_rows,best_annual_net_pnl_inr,best_mean_net_return,min_trades,max_trades,best_positive_day_fraction
S07,zero_latency_spread_only_control,12,2,0,85087.07496908131,9.866312032592915e-05,8624,38957,0.5063291139240507
S05,zero_latency_spread_only_control,12,2,0,3917.99035335484,4.7290167210076436e-06,8285,87403,0.5116279069767442
S01,retail_marketable_default,12,0,0,-184924.47465172023,-0.0008590492337643222,1726,58489,0.27631578947368424
S01,stressed_retail,12,0,0,-261009.69191611448,-0.0012481960818432733,1622,56139,0.272
S02,retail_marketable_default,12,0,0,-275070.54867797764,-0.0009570727379693939,2858,110741,0.2808988764044944
S02,zero_latency_spread_only_control,12,0,0,-285593.409446009,-0.00044185440506431926,3091,117357,0.30303030303030304
S02,stressed_retail,12,0,0,-433843.2718221509,-0.0013088894741129819,2709,105416,0.1523809523809524
S09,zero_latency_spread_only_control,12,0,0,-544255.9664447835,-0.00019688441771259895,11109,63427,0.368
S01,zero_latency_spread_only_control,12,0,0,-878572.1529951892,-0.0013135887812682,1944,62896,0.175
S07,retail_marketable_default,12,0,0,-997627.5023305421,-0.0012114124710225415,8181,36941,0.08974358974358974
S05,retail_marketable_default,12,0,0,-1025748.5216171544,-0.0012789362592308766,7884,83100,0.07058823529411765
S05,stressed_retail,12,0,0,-1302295.5753563463,-0.0016791607322305991,7689,80517,0.07228915662650602
S07,stressed_retail,12,0,0,-1419729.2096690272,-0.0016109418996534312,7941,35843,0.03389830508474576
S09,retail_marketable_default,12,0,0,-1573097.6884871866,-0.0012503718846588934,10541,60281,0.07482993197278912
S09,stressed_retail,12,0,0,-1956960.5998889818,-0.0016371269578930655,10207,58308,0.07432432432432433
