variant_id,strategy_id,feature_column,threshold_quantile,threshold_value,spread_quantile,spread_tick_limit,liquidity_quantile,liquidity_floor,variant_scope
S01_q90_sp25_liq50,S01,momentum_3_event,0.9,0.006725309414563396,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S01_q90_sp25_liq75,S01,momentum_3_event,0.9,0.006725309414563396,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S01_q90_sp50_liq50,S01,momentum_3_event,0.9,0.006725309414563396,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S01_q90_sp50_liq75,S01,momentum_3_event,0.9,0.006725309414563396,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S01_q95_sp25_liq50,S01,momentum_3_event,0.95,0.00910506370341638,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S01_q95_sp25_liq75,S01,momentum_3_event,0.95,0.00910506370341638,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S01_q95_sp50_liq50,S01,momentum_3_event,0.95,0.00910506370341638,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S01_q95_sp50_liq75,S01,momentum_3_event,0.95,0.00910506370341638,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S01_q98_sp25_liq50,S01,momentum_3_event,0.98,0.013006646304000391,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S01_q98_sp25_liq75,S01,momentum_3_event,0.98,0.013006646304000391,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S01_q98_sp50_liq50,S01,momentum_3_event,0.98,0.013006646304000391,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S01_q98_sp50_liq75,S01,momentum_3_event,0.98,0.013006646304000391,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S02_q90_sp25_liq50,S02,mlofi_qty_event,0.9,0.027402017112009146,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S02_q90_sp25_liq75,S02,mlofi_qty_event,0.9,0.027402017112009146,0.25,2.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S02_q90_sp50_liq50,S02,mlofi_qty_event,0.9,0.027402017112009146,0.5,4.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
S02_q90_sp50_liq75,S02,mlofi_qty_event,0.9,0.027402017112009146,0.5,4.0,0.75,1.3776446741792583,native_full_year_cost_salvage_not_acceptance
S02_q95_sp25_liq50,S02,mlofi_qty_event,0.95,0.03979558662992651,0.25,2.0,0.5,1.210262014249494,native_full_year_cost_salvage_not_acceptance
