panel,trade_date,symbol,ticks,positive_gaps,zero_or_negative_gaps,median_gap,p90_gap,p95_gap,p99_gap,max_gap,unit_guess
synthetic,2026-01-01,ADANIPORTS,25000,4983,20016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-01-01,AXISBANK,25000,5483,19516,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-01-01,BAJAJ-AUTO,25000,5983,19016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-01-01,BANKBEES,25000,5483,19516,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-01-01,BHARTIARTL,25000,5483,19516,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-01-01,BPCL,25000,5483,19516,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-01-01,BRITANNIA,25000,5983,19016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-01-01,CIPLA,25000,5483,19516,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,ADANIPORTS,25000,5983,19016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,AXISBANK,25000,5983,19016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,BAJAJ-AUTO,25000,6483,18516,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,BANKBEES,25000,5983,19016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,BHARTIARTL,25000,5483,19516,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,BPCL,25000,4983,20016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,BRITANNIA,25000,5983,19016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
synthetic,2026-02-02,CIPLA,25000,4983,20016,1.0,1.0,1.0,1.0,1.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,ADANIPORTS,761,575,185,1.0,5.0,7.0,8.0,417.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,AXISBANK,801,588,212,1.0,5.300000000000068,7.0,8.0,425.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,BAJAJ-AUTO,1406,917,488,1.0,1.0,2.0,7.0,425.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,BANKBEES,404,359,44,1.0,8.0,8.0,9.0,1784259909.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,BHARTIARTL,763,562,200,1.0,5.0,7.0,8.0,426.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,BPCL,269,252,16,5.0,7.0,8.0,9.0,425.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,BRITANNIA,230,215,14,6.0,8.0,8.0,9.0,417.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-17,CIPLA,332,290,41,3.0,7.0,8.0,9.0,417.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,ADANIPORTS,346,317,28,4.0,7.0,7.0,8.0,434.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,AXISBANK,1792,1130,661,1.0,1.0,1.0,1.0,448.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,BAJAJ-AUTO,731,586,144,1.0,5.0,6.75,8.0,434.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,BANKBEES,1493,1071,421,1.0,1.0,1.0,2.0,1784519109.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,BHARTIARTL,816,586,229,1.0,5.0,6.0,7.149999999999977,446.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,BPCL,327,298,28,4.0,7.0,8.0,8.029999999999973,449.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,BRITANNIA,266,255,10,4.0,7.599999999999994,8.0,9.0,449.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-20,CIPLA,433,362,70,3.0,7.0,7.0,9.0,449.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,ADANIPORTS,494,407,86,1.0,6.0,7.0,9.0,423.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,AXISBANK,1654,1019,634,1.0,1.0,1.0,4.0,422.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,BAJAJ-AUTO,1253,938,314,1.0,1.0,2.0,5.0,423.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,BANKBEES,975,815,159,1.0,2.0,4.0,7.0,1784605506.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,BHARTIARTL,578,462,115,1.0,5.0,6.0,7.389999999999986,422.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,BPCL,293,274,18,4.0,7.0,8.0,9.0,410.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,BRITANNIA,332,310,21,3.0,8.0,8.0,8.910000000000025,423.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-21,CIPLA,338,311,26,3.0,7.0,8.0,9.0,410.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,ADANIPORTS,470,380,89,2.0,7.0,8.0,9.0,416.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,AXISBANK,1108,733,374,1.0,3.0,5.0,7.0,416.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,BAJAJ-AUTO,1759,1093,665,1.0,1.0,1.0,2.0,426.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,BANKBEES,522,430,91,1.0,6.0,7.0,8.0,1784691909.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,BHARTIARTL,373,320,52,3.0,7.0,7.0,9.0,426.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,BPCL,343,312,30,3.0,7.0,7.449999999999989,9.0,426.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,BRITANNIA,253,244,8,5.0,8.0,8.0,9.569999999999993,416.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-22,CIPLA,1227,858,368,1.0,2.0,4.0,7.0,416.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,ADANIPORTS,547,439,107,1.0,6.0,6.099999999999966,9.0,440.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,AXISBANK,910,625,284,1.0,5.0,6.0,7.0,454.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,BAJAJ-AUTO,1555,1000,554,1.0,1.0,2.0,4.009999999999991,453.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,BANKBEES,806,630,175,1.0,5.0,6.0,8.0,1784778309.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,BHARTIARTL,419,364,54,2.0,6.0,7.0,8.0,453.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,BPCL,1300,825,474,1.0,2.0,4.0,6.0,454.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,BRITANNIA,266,255,10,4.0,7.0,8.0,9.460000000000008,440.0,milliseconds_or_dense_subtick_counter
real_anchor,2026-07-23,CIPLA,701,547,153,1.0,5.0,6.0,9.0,440.0,milliseconds_or_dense_subtick_counter
