panel,forward_ticks,max_hold_ticks,scan_points_possible,scan_points_feasible_min_hold,median_max_window_hold,p95_max_window_hold,feasible_fraction
real_anchor,3,30,133,0,68.25,112.32499999999999,0.0
real_anchor,3,60,126,11,112.0,201.55,0.0873015873015873
real_anchor,3,120,116,24,190.5,289.125,0.20689655172413793
real_anchor,3,250,100,44,420.25,568.9,0.44
real_anchor,3,500,62,62,318.25,337.4,1.0
real_anchor,3,1000,23,23,0.0,0.0,1.0
real_anchor,3,1500,6,6,0.0,0.0,1.0
real_anchor,3,2500,0,0,0.0,0.0,0.0
real_anchor,3,5000,0,0,0.0,0.0,0.0
real_anchor,6,30,133,0,68.25,112.32499999999999,0.0
real_anchor,6,60,125,11,112.0,201.55,0.088
real_anchor,6,120,116,24,190.5,289.125,0.20689655172413793
real_anchor,6,250,100,44,420.25,568.9,0.44
real_anchor,6,500,62,62,318.25,337.4,1.0
real_anchor,6,1000,23,23,0.0,0.0,1.0
real_anchor,6,1500,6,6,0.0,0.0,1.0
real_anchor,6,2500,0,0,0.0,0.0,0.0
real_anchor,6,5000,0,0,0.0,0.0,0.0
real_anchor,12,30,131,0,68.25,112.32499999999999,0.0
real_anchor,12,60,125,11,112.0,201.55,0.088
real_anchor,12,120,116,24,190.5,289.125,0.20689655172413793
real_anchor,12,250,97,42,420.25,530.0,0.4329896907216495
real_anchor,12,500,59,59,318.25,337.6,1.0
real_anchor,12,1000,22,22,0.0,0.0,1.0
real_anchor,12,1500,5,5,0.0,0.0,1.0
real_anchor,12,2500,0,0,0.0,0.0,0.0
real_anchor,12,5000,0,0,0.0,0.0,0.0
synthetic,3,30,1600,0,5.0,15.0,0.0
synthetic,3,60,1600,0,10.0,30.0,0.0
synthetic,3,120,1600,0,20.0,60.0,0.0
synthetic,3,250,1584,17,42.0,112.39999999999992,0.010732323232323232
synthetic,3,500,1568,74,84.0,210.92499999999973,0.047193877551020405
synthetic,3,1000,1536,313,169.75,358.375,0.20377604166666666
synthetic,3,1500,1504,1140,254.5,501.92499999999995,0.7579787234042553
synthetic,3,2500,1440,1440,424.5,756.8499999999999,1.0
synthetic,3,5000,1280,1280,841.75,1232.225,1.0
synthetic,6,30,1600,0,5.0,15.0,0.0
synthetic,6,60,1600,0,10.0,30.0,0.0
synthetic,6,120,1600,0,20.0,60.0,0.0
synthetic,6,250,1584,17,42.0,112.39999999999992,0.010732323232323232
synthetic,6,500,1568,74,84.0,210.92499999999973,0.047193877551020405
synthetic,6,1000,1536,313,169.75,358.375,0.20377604166666666
synthetic,6,1500,1504,1140,254.5,501.92499999999995,0.7579787234042553
synthetic,6,2500,1440,1440,424.5,756.8499999999999,1.0
synthetic,6,5000,1280,1280,841.75,1232.225,1.0
synthetic,12,30,1600,0,5.0,15.0,0.0
synthetic,12,60,1600,0,10.0,30.0,0.0
synthetic,12,120,1600,0,20.0,60.0,0.0
synthetic,12,250,1584,17,42.0,112.39999999999992,0.010732323232323232
synthetic,12,500,1568,74,84.0,210.92499999999973,0.047193877551020405
synthetic,12,1000,1536,313,169.75,358.375,0.20377604166666666
synthetic,12,1500,1504,1140,254.5,501.92499999999995,0.7579787234042553
synthetic,12,2500,1440,1440,424.5,756.8499999999999,1.0
synthetic,12,5000,1280,1280,841.75,1232.225,1.0
