synthetic_scenario_id,real_anchor_scenario_id,family_id,synthetic_round_trips,synthetic_annualized_return_pct,synthetic_positive_date_fraction,real_anchor_round_trips,real_anchor_annualized_return_pct,real_anchor_positive_date_fraction
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p1,P432_real_anchor_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p1,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p25,P432_real_anchor_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p25,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p4,P432_real_anchor_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p4,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p1,P432_real_anchor_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p1,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p25,P432_real_anchor_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p25,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p4,P432_real_anchor_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p4,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p1,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p1,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p25,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p25,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p4,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p4,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p1,P432_real_anchor_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p1,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p25,P432_real_anchor_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p25,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p4,P432_real_anchor_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p4,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p1,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p1,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p25,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p25,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p4,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p4,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p1,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p1,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p25,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p25,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p4,P432_real_anchor_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p4,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p1,P432_real_anchor_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p1,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p25,P432_real_anchor_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p25,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p4,P432_real_anchor_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p4,depth_pressure_continuation,10,-20.21273903621011,0.0,0,0.0,0.0
