scenario_id,family_id,l1_only_annualized_return_pct,l1_only_trips,side_flip_annualized_return_pct,side_flip_trips
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S8p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S12p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S4p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S12p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S8p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L180_F3_M2500_S12p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S4p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S8p0_I0p25_D0p1,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S8p0_I0p25_D0p25,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L360_F3_M2500_S8p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
P432_synthetic_depth_pressure_continuation_L60_F3_M2500_S4p0_I0p25_D0p4,depth_pressure_continuation,-20.21273903621011,10,-30.219361745951907,10
