label_candidate_id,thesis_id,feature_column,direction_multiplier,thesis,abs_threshold_quantile,abs_threshold_value,spread_quantile,spread_tick_limit,forward_horizon_events,label_scope
F01_momentum_follow_q90_sp50_1e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.5,4.0,1,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q90_sp50_3e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.5,4.0,3,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q90_sp50_6e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.5,4.0,6,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q90_sp50_12e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.5,4.0,12,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q90_sp75_1e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.75,5.0,1,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q90_sp75_3e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.75,5.0,3,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q90_sp75_6e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.75,5.0,6,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q90_sp75_12e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.9,0.006725309414563396,0.75,5.0,12,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q95_sp50_1e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.95,0.00910506370341638,0.5,4.0,1,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q95_sp50_3e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.95,0.00910506370341638,0.5,4.0,3,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q95_sp50_6e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.95,0.00910506370341638,0.5,4.0,6,native_full_year_forward_edge_label_mining_not_acceptance
F01_momentum_follow_q95_sp50_12e,F01_momentum_follow,momentum_3_event,1,follow recent event momentum,0.95,0.00910506370341638,0.5,4.0,12,native_full_year_forward_edge_label_mining_not_acceptance
