trade_month,symbol,profile_id,path,exists,bytes
2026-01,AXISBANK,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,1,11096622
2026-01,HDFCBANK,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,1,11278095
2026-01,ICICIBANK,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet,1,11088317
2026-01,INFY,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=INFY\part-00000.parquet,1,11196406
2026-01,HCLTECH,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,1,11229206
2026-01,TCS,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=TCS\part-00000.parquet,1,11127884
2026-01,RELIANCE,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,1,11252173
2026-02,AXISBANK,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=AXISBANK\part-00000.parquet,1,10301608
2026-02,HDFCBANK,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,1,10383586
2026-02,ICICIBANK,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=ICICIBANK\part-00000.parquet,1,10344892
2026-02,INFY,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=INFY\part-00000.parquet,1,10312444
2026-02,HCLTECH,P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE,raw_synthetic_l2_phase162_distributional_full_year\profile=P159_DISTRIBUTIONAL_FULL_PARTITION_CADENCE\trade_month=2026-02\symbol=HCLTECH\part-00000.parquet,1,10357513
