column_name,column_type,null,key,default,extra
collector_run_id,VARCHAR,YES,,,
session_id,VARCHAR,YES,,,
callback_batch_id,BIGINT,YES,,,
local_sequence_id,BIGINT,YES,,,
callback_received_utc_ms,BIGINT,YES,,,
callback_received_monotonic_ns,BIGINT,YES,,,
exchange_timestamp_ms,BIGINT,YES,,,
last_trade_time_ms,BIGINT,YES,,,
trade_date,VARCHAR,YES,,,
exchange,VARCHAR,YES,,,
symbol,VARCHAR,YES,,,
instrument_token,BIGINT,YES,,,
feed_profile,VARCHAR,YES,,,
annual_event_id,BIGINT,YES,,,
receive_sequence,BIGINT,YES,,,
source_sequence,BIGINT,YES,,,
regime_code,VARCHAR,YES,,,
last_price,DOUBLE,YES,,,
last_traded_quantity,BIGINT,YES,,,
volume_traded,BIGINT,YES,,,
average_traded_price,DOUBLE,YES,,,
total_buy_quantity,BIGINT,YES,,,
total_sell_quantity,BIGINT,YES,,,
oi,BIGINT,YES,,,
oi_day_high,BIGINT,YES,,,
oi_day_low,BIGINT,YES,,,
is_market_shock_day,BOOLEAN,YES,,,
is_symbol_shock,BOOLEAN,YES,,,
is_duplicate,BOOLEAN,YES,,,
is_disconnect_gap,BOOLEAN,YES,,,
is_out_of_order_injected,BOOLEAN,YES,,,
buy_1_price,DOUBLE,YES,,,
buy_1_quantity,BIGINT,YES,,,
buy_1_orders,BIGINT,YES,,,
sell_1_price,DOUBLE,YES,,,
sell_1_quantity,BIGINT,YES,,,
sell_1_orders,BIGINT,YES,,,
buy_2_price,DOUBLE,YES,,,
buy_2_quantity,BIGINT,YES,,,
buy_2_orders,BIGINT,YES,,,
sell_2_price,DOUBLE,YES,,,
sell_2_quantity,BIGINT,YES,,,
sell_2_orders,BIGINT,YES,,,
buy_3_price,DOUBLE,YES,,,
buy_3_quantity,BIGINT,YES,,,
buy_3_orders,BIGINT,YES,,,
sell_3_price,DOUBLE,YES,,,
sell_3_quantity,BIGINT,YES,,,
sell_3_orders,BIGINT,YES,,,
buy_4_price,DOUBLE,YES,,,
buy_4_quantity,BIGINT,YES,,,
buy_4_orders,BIGINT,YES,,,
sell_4_price,DOUBLE,YES,,,
sell_4_quantity,BIGINT,YES,,,
sell_4_orders,BIGINT,YES,,,
buy_5_price,DOUBLE,YES,,,
buy_5_quantity,BIGINT,YES,,,
buy_5_orders,BIGINT,YES,,,
sell_5_price,DOUBLE,YES,,,
sell_5_quantity,BIGINT,YES,,,
sell_5_orders,BIGINT,YES,,,
