feature_name,present,non_null_rows,unique_values,finite_rows,uses_l2_l5_depth
spread_bps,1,1792,1703,1792,0
l1_imbalance,1,1792,1317,1792,0
l25_imbalance,1,1792,1584,1792,1
volume_delta_lookback,1,1792,23,1792,0
l1_l5_bid_depth_slope,1,1792,1265,1792,1
l1_l5_ask_depth_slope,1,1792,1318,1792,1
l1_l5_depth_concentration,1,1792,382,1792,1
l25_order_imbalance,1,1792,148,1792,1
microprice_l1_minus_mid_bps,1,1792,1787,1792,0
microprice_l25_minus_mid_bps,1,1792,1785,1792,1
spread_mean_lookback_bps,1,1792,1703,1792,0
trade_qty_sum_lookback,1,1792,23,1792,0
trade_qty_accel_lookback,1,1792,23,1792,0
minute_of_day,1,1792,1005,1792,0
source_event_mid_return_1,1,1792,1332,1792,0
source_event_mid_return_3,1,1792,1336,1792,0
source_event_mid_return_5,1,1792,1338,1792,0
source_event_l1_ofi_1,1,1792,235,1792,0
source_event_l1_ofi_3,1,1792,226,1792,0
source_event_l25_ofi_1,1,1792,535,1792,1
source_event_l25_ofi_3,1,1792,535,1792,1
source_event_l25_replenishment_count_5,1,1792,6,1792,1
source_event_l25_withdrawal_count_5,1,1792,5,1792,1
source_event_spread_change_3_bps,1,1792,1336,1792,0
source_event_spread_vol_5_bps,1,1792,1345,1792,0
