scenario_id,horizon_ticks,filter_id,top_fraction,candidate_rows_after_filter,trade_count,holdout_days,gross_pnl_inr,zerodha_total_charges_inr,adverse_slippage_inr,net_pnl_inr,annualized_return_pct,win_rate,avg_net_per_trade_inr,max_daily_drawdown_inr
horizon_480_shock_only_top_0.05_cost200,480,shock_only,0.05,56,10,22,792.2601999999606,826.0190259019112,198.4840625,-232.2428884019506,-2.660236721695071,0.3,-23.22428884019506,-361.131849721057
horizon_480_shock_only_top_0.10_cost200,480,shock_only,0.1,56,10,22,792.2601999999606,826.0190259019112,198.4840625,-232.2428884019506,-2.660236721695071,0.3,-23.22428884019506,-361.131849721057
horizon_480_shock_only_top_0.20_cost200,480,shock_only,0.2,56,11,22,808.0041999999667,908.6997667019751,218.48206249999998,-319.1776292020086,-3.656034661768462,0.2727272727272727,-29.016148109273505,-361.13184972105694
horizon_480_liquidity_vacuum_top_0.05_cost200,480,liquidity_vacuum,0.05,54,10,22,544.2749999999214,826.2090579084501,198.814737,-480.7487949085286,-5.506758923497691,0.3,-48.074879490852865,-609.637756227635
horizon_480_liquidity_vacuum_top_0.10_cost200,480,liquidity_vacuum,0.1,54,10,22,544.2749999999214,826.2090579084501,198.814737,-480.7487949085286,-5.506758923497691,0.3,-48.074879490852865,-609.637756227635
horizon_480_liquidity_vacuum_top_0.20_cost200,480,liquidity_vacuum,0.2,54,11,22,529.295199999935,908.8133024655212,218.66896150000002,-598.1870639655863,-6.851960914514897,0.2727272727272727,-54.38064217868966,-727.0760252846926
horizon_480_shock_and_liquidity_vacuum_top_0.05_cost200,480,shock_and_liquidity_vacuum,0.05,34,10,22,743.6601999999257,826.0191889171111,198.47812249999998,-280.8371114171855,-3.2168614580513983,0.3,-28.08371114171855,-409.7260727362918
horizon_480_shock_and_liquidity_vacuum_top_0.10_cost200,480,shock_and_liquidity_vacuum,0.1,34,10,22,743.6601999999257,826.0191889171111,198.47812249999998,-280.8371114171855,-3.2168614580513983,0.3,-28.08371114171855,-409.7260727362918
horizon_480_shock_and_liquidity_vacuum_top_0.20_cost200,480,shock_and_liquidity_vacuum,0.2,34,10,22,743.6601999999257,826.0191889171111,198.47812249999998,-280.8371114171855,-3.2168614580513983,0.3,-28.08371114171855,-409.7260727362918
horizon_480_shock_and_l25_pressure_top_0.05_cost200,480,shock_and_l25_pressure,0.05,35,10,22,754.3866999999736,826.2011588625002,198.8267345,-270.64119336252656,-3.1000718512434866,0.3,-27.064119336252656,-399.1827959472895
horizon_480_shock_and_l25_pressure_top_0.10_cost200,480,shock_and_l25_pressure,0.1,35,10,22,754.3866999999736,826.2011588625002,198.8267345,-270.64119336252656,-3.1000718512434866,0.3,-27.064119336252656,-399.1827959472895
horizon_480_shock_and_l25_pressure_top_0.20_cost200,480,shock_and_l25_pressure,0.2,35,10,22,754.3866999999736,826.2011588625002,198.8267345,-270.64119336252656,-3.1000718512434866,0.3,-27.064119336252656,-399.1827959472895
horizon_960_shock_only_top_0.05_cost200,960,shock_only,0.05,56,10,22,377.3835000000108,826.1736698301311,198.7837915,-647.5739613301203,-7.417665375235924,0.2,-64.75739613301202,-287.36089459092887
horizon_960_shock_only_top_0.10_cost200,960,shock_only,0.1,56,10,22,377.3835000000108,826.1736698301311,198.7837915,-647.5739613301203,-7.417665375235924,0.2,-64.75739613301202,-287.36089459092887
horizon_960_shock_only_top_0.20_cost200,960,shock_only,0.2,56,11,22,454.3335000000079,908.8250521184311,218.7367915,-673.2283436184232,-7.711524663265576,0.18181818181818182,-61.202576692583925,-313.0152768792318
horizon_960_liquidity_vacuum_top_0.05_cost200,960,liquidity_vacuum,0.05,54,10,22,430.72499999999127,826.1256923328599,198.671408,-594.0721003328688,-6.804825876540132,0.2,-59.40721003328688,-523.9785515818087
horizon_960_liquidity_vacuum_top_0.10_cost200,960,liquidity_vacuum,0.1,54,10,22,430.72499999999127,826.1256923328599,198.671408,-594.0721003328688,-6.804825876540132,0.2,-59.40721003328688,-523.9785515818087
horizon_960_liquidity_vacuum_top_0.20_cost200,960,liquidity_vacuum,0.2,54,11,22,444.0899999999965,908.7012454832299,218.47153400000002,-683.0827794832336,-7.824402746807949,0.18181818181818182,-62.09843449847578,-612.9892307321735
horizon_960_shock_and_liquidity_vacuum_top_0.05_cost200,960,shock_and_liquidity_vacuum,0.05,34,10,22,488.06249999998545,826.0583587967651,198.5579245,-536.5537832967796,-6.145979699581294,0.3,-53.65537832967796,-380.4939239245375
horizon_960_shock_and_liquidity_vacuum_top_0.10_cost200,960,shock_and_liquidity_vacuum,0.1,34,10,22,488.06249999998545,826.0583587967651,198.5579245,-536.5537832967796,-6.145979699581294,0.3,-53.65537832967796,-380.4939239245375
horizon_960_shock_and_liquidity_vacuum_top_0.20_cost200,960,shock_and_liquidity_vacuum,0.2,34,10,22,488.06249999998545,826.0583587967651,198.5579245,-536.5537832967796,-6.145979699581294,0.3,-53.65537832967796,-380.4939239245375
horizon_960_shock_and_l25_pressure_top_0.05_cost200,960,shock_and_l25_pressure,0.05,35,10,22,332.5035000000207,826.131786737831,198.69809850000001,-692.3263852378104,-7.930284049087648,0.3,-69.23263852378105,-423.8867825096256
horizon_960_shock_and_l25_pressure_top_0.10_cost200,960,shock_and_l25_pressure,0.1,35,10,22,332.5035000000207,826.131786737831,198.69809850000001,-692.3263852378104,-7.930284049087648,0.3,-69.23263852378105,-423.8867825096256
horizon_960_shock_and_l25_pressure_top_0.20_cost200,960,shock_and_l25_pressure,0.2,35,10,22,332.5035000000207,826.131786737831,198.69809850000001,-692.3263852378104,-7.930284049087648,0.3,-69.23263852378105,-423.8867825096256
horizon_1800_shock_only_top_0.05_cost200,1800,shock_only,0.05,56,10,22,597.3540000000212,826.1627832201839,198.7007855,-427.50956872016286,-4.896927787158229,0.4,-42.75095687201629,-133.31168758381455
horizon_1800_shock_only_top_0.10_cost200,1800,shock_only,0.1,56,10,22,597.3540000000212,826.1627832201839,198.7007855,-427.50956872016286,-4.896927787158229,0.4,-42.75095687201629,-133.31168758381455
horizon_1800_shock_only_top_0.20_cost200,1800,shock_only,0.2,56,11,22,524.6212000000232,908.7666770791607,218.5439165,-602.6893935791376,-6.903533053724667,0.36363636363636365,-54.78994487083069,-133.31168758381455
horizon_1800_liquidity_vacuum_top_0.05_cost200,1800,liquidity_vacuum,0.05,54,10,22,756.3375000000378,826.132965944315,198.68264549999998,-268.4781114442772,-3.0752947310889933,0.4,-26.84781114442772,-135.66787671016291
horizon_1800_liquidity_vacuum_top_0.10_cost200,1800,liquidity_vacuum,0.1,54,10,22,756.3375000000378,826.132965944315,198.68264549999998,-268.4781114442772,-3.0752947310889933,0.4,-26.84781114442772,-135.66787671016291
horizon_1800_liquidity_vacuum_top_0.20_cost200,1800,liquidity_vacuum,0.2,54,11,22,758.160000000018,908.70023429683,218.46547799999996,-369.005712296812,-4.226792704490756,0.36363636363636365,-33.54597384516473,-236.19547756269773
horizon_1800_shock_and_liquidity_vacuum_top_0.05_cost200,1800,shock_and_liquidity_vacuum,0.05,34,10,22,495.23470000003,825.9915961691017,198.38754400000002,-529.1444401690719,-6.061109041936643,0.3,-52.91444401690719,-221.15438057598288
horizon_1800_shock_and_liquidity_vacuum_top_0.10_cost200,1800,shock_and_liquidity_vacuum,0.1,34,10,22,495.23470000003,825.9915961691017,198.38754400000002,-529.1444401690719,-6.061109041936643,0.3,-52.91444401690719,-221.15438057598288
