scenario_id,horizon_ticks,rule_id,top_count,candidate_rows,trade_count,holdout_days,gross_pnl_inr,zerodha_total_charges_inr,adverse_slippage_inr,net_pnl_inr,annualized_return_pct,win_rate,avg_net_per_trade_inr,max_daily_drawdown_inr,diagnostic_event_floor_met,acceptance_event_floor_met,acceptance_candidate
horizon_480_deep_l25_fade_top10_cost200,480,deep_l25_fade,10,35,10,2,-269.0078999999823,825.9320531788226,198.35709149999997,-1293.297044678805,-162.95542762952942,0.1,-129.3297044678805,-339.8716698432056,1,0,0
horizon_480_deep_l25_fade_top20_cost200,480,deep_l25_fade,20,35,20,2,-739.8787999999622,1651.9225524632698,396.79930504000004,-2788.6006575032316,-351.36368284540714,0.05,-139.43003287516157,-1172.3556233891168,1,0,0
horizon_480_deep_l25_fade_top40_cost200,480,deep_l25_fade,40,35,34,2,-898.7048000000214,2808.412820063874,674.8279135399999,-4381.9455336038955,-552.1251372340907,0.058823529411764705,-128.88075098834986,-2096.7275503263995,1,1,0
horizon_480_top1_fade_reference_top10_cost200,480,top1_fade_reference,10,35,10,2,-269.0078999999823,825.9320531788226,198.35709149999997,-1293.297044678805,-162.95542762952942,0.1,-129.3297044678805,-339.8716698432056,1,0,0
horizon_480_top1_fade_reference_top20_cost200,480,top1_fade_reference,20,35,20,2,-739.8787999999622,1651.9225524632698,396.79930504000004,-2788.6006575032316,-351.36368284540714,0.05,-139.43003287516157,-1172.3556233891168,1,0,0
horizon_480_top1_fade_reference_top40_cost200,480,top1_fade_reference,40,35,35,2,-809.2673000000068,2890.915685752349,694.4991235399999,-4394.682109292356,-553.7299457708368,0.05714285714285714,-125.56234597978158,-2109.4641260148596,1,1,0
horizon_480_deep_l25_momentum_control_top10_cost200,480,deep_l25_momentum_control,10,35,10,2,269.0078999999823,825.9239829418226,198.35709149999997,-755.2731744418403,-95.16441997967188,0.2,-75.52731744418404,-274.67609192424675,1,0,0
horizon_480_deep_l25_momentum_control_top20_cost200,480,deep_l25_momentum_control,20,35,20,2,739.8787999999622,1651.9003560992699,396.79930504000004,-1308.8208611393072,-164.9114285035527,0.2,-65.44104305696536,-876.7853899021932,1,0,0
horizon_480_deep_l25_momentum_control_top40_cost200,480,deep_l25_momentum_control,40,35,34,2,898.7048000000214,2808.3858589198735,674.8279135399999,-2584.5089724598524,-325.6481305299414,0.20588235294117646,-76.01496977823095,-1386.2810937894506,1,1,0
horizon_480_deterministic_alternate_control_top10_cost200,480,deterministic_alternate_control,10,35,10,2,370.67769999998563,825.9224578948226,198.35709149999997,-653.6018493948369,-82.35383302374946,0.3,-65.36018493948369,-304.6361413182196,1,0,0
horizon_480_deterministic_alternate_control_top20_cost200,480,deterministic_alternate_control,20,35,20,2,555.9981999999873,1651.9031143082698,396.79930504000004,-1492.7042193482823,-188.08073163788356,0.25,-74.63521096741411,-1055.7980750521442,1,0,0
horizon_480_deterministic_alternate_control_top40_cost200,480,deterministic_alternate_control,40,35,35,2,1038.3216999999422,2890.8879719173488,694.4991235399999,-2547.0653954574063,-320.9302398276332,0.22857142857142856,-72.77329701306876,-1693.3520844279276,1,1,0
horizon_960_deep_l25_fade_top10_cost200,960,deep_l25_fade,10,35,10,2,176.96249999997963,825.9519612609652,198.35709149999997,-847.3465527609852,-106.76566564788415,0.2,-84.73465527609852,-348.41477650187664,1,0,0
horizon_960_deep_l25_fade_top20_cost200,960,deep_l25_fade,20,35,20,2,-340.8727000000363,1651.952951081006,396.79930504,-2389.6249561210425,-301.0927444712513,0.1,-119.48124780605212,-1290.349006110494,1,0,0
horizon_960_deep_l25_fade_top40_cost200,960,deep_l25_fade,40,35,34,2,-317.8792000001122,2808.4483242256974,674.8279135399999,-3801.155437765809,-478.94558515849195,0.17647058823529413,-111.79868934605321,-2057.7539112106215,1,1,0
horizon_960_top1_fade_reference_top10_cost200,960,top1_fade_reference,10,35,10,2,176.96249999997963,825.9519612609652,198.35709149999997,-847.3465527609852,-106.76566564788415,0.2,-84.73465527609852,-348.41477650187664,1,0,0
horizon_960_top1_fade_reference_top20_cost200,960,top1_fade_reference,20,35,20,2,-340.8727000000363,1651.952951081006,396.79930504,-2389.6249561210425,-301.0927444712513,0.1,-119.48124780605212,-1290.349006110494,1,0,0
horizon_960_top1_fade_reference_top40_cost200,960,top1_fade_reference,40,35,35,2,-261.1792000001151,2890.9533966180975,694.4991235399999,-3846.631720158212,-484.67559673993475,0.17142857142857143,-109.90376343309177,-2103.2301936030244,1,1,0
horizon_960_deep_l25_momentum_control_top10_cost200,960,deep_l25_momentum_control,10,35,10,2,-176.96249999997963,825.957270135965,198.35709149999997,-1201.2768616359447,-151.36088456612902,0.3,-120.12768616359446,-266.13854237685337,1,0,0
horizon_960_deep_l25_momentum_control_top20_cost200,960,deep_l25_momentum_control,20,35,20,2,340.8727000000363,1651.9427249000062,396.79930504,-1707.8693299399704,-215.19153557243627,0.35,-85.39346649699851,-758.7906328544284,1,0,0
