root,trade_date,symbol,sample_file,column_count,has_l1,has_top5,missing_required_columns
real_data_sample\l2_multiday_panel,2026-07-16,ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=ADANIPORTS\part-034500_837289-000001.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=AXISBANK\part-034500_983592-000002.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=BAJAJ-AUTO\part-034501_131495-000003.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=BANKBEES\part-034501_281846-000004.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=BHARTIARTL\part-034501_431163-000005.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=BPCL\part-034501_573393-000006.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=BRITANNIA\part-034501_715524-000007.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=CIPLA\part-034501_871999-000008.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=DRREDDY\part-034502_012957-000009.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,GOLDBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=GOLDBEES\part-034502_162517-000010.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,HCLTECH,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=HCLTECH\part-034502_314587-000011.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,HDFCBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=HDFCBANK\part-034502_454715-000012.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,HINDUNILVR,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=HINDUNILVR\part-034502_605520-000013.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,ICICIBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=ICICIBANK\part-034502_748793-000014.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,INFY,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=INFY\part-034502_887426-000015.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,ITBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=ITBEES\part-034503_029371-000016.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,ITC,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=ITC\part-034503_173317-000017.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,JUNIORBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=JUNIORBEES\part-034503_301002-000018.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,KOTAKBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=KOTAKBANK\part-034503_429038-000019.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,LT,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=LT\part-034503_562250-000020.parquet,54,1,1,
real_data_sample\l2_multiday_panel,2026-07-16,M&M,real_data_sample\l2_multiday_panel\trade_date=2026-07-16\exchange=NSE\symbol=M&M\part-034503_691850-000021.parquet,54,1,1,
