trade_month,symbol,source_rows,dense_rows,multiplier,file_path,bytes,elapsed_seconds_total
2026-01,HDFCBANK,8220,526080,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,7746199,44.40887670000666
2026-01,INFY,8225,526400,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-01\symbol=INFY\part-00000.parquet,7552839,44.40887670000666
2026-01,RELIANCE,8214,525696,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,7756457,44.40887670000666
2026-02,HDFCBANK,7476,478464,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,7252358,44.40887670000666
2026-02,INFY,7459,477376,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-02\symbol=INFY\part-00000.parquet,7202238,44.40887670000666
2026-02,RELIANCE,7453,476992,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-02\symbol=RELIANCE\part-00000.parquet,7216376,44.40887670000666
2026-03,HDFCBANK,8220,526080,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,7781793,44.40887670000666
2026-03,INFY,8210,525440,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-03\symbol=INFY\part-00000.parquet,7723522,44.40887670000666
2026-03,RELIANCE,8223,526272,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-03\symbol=RELIANCE\part-00000.parquet,7734792,44.40887670000666
2026-04,HDFCBANK,8212,525568,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet,7785363,44.40887670000666
2026-04,INFY,8197,524608,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-04\symbol=INFY\part-00000.parquet,7792672,44.40887670000666
2026-04,RELIANCE,8212,525568,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-04\symbol=RELIANCE\part-00000.parquet,7794170,44.40887670000666
2026-05,HDFCBANK,7848,502272,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-05\symbol=HDFCBANK\part-00000.parquet,7516891,44.40887670000666
2026-05,INFY,7857,502848,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-05\symbol=INFY\part-00000.parquet,7541714,44.40887670000666
2026-05,RELIANCE,7853,502592,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-05\symbol=RELIANCE\part-00000.parquet,7485134,44.40887670000666
2026-06,HDFCBANK,8198,524672,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-06\symbol=HDFCBANK\part-00000.parquet,7724067,44.40887670000666
2026-06,INFY,8222,526208,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-06\symbol=INFY\part-00000.parquet,7718394,44.40887670000666
2026-06,RELIANCE,8210,525440,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-06\symbol=RELIANCE\part-00000.parquet,7705117,44.40887670000666
2026-07,HDFCBANK,8587,549568,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-07\symbol=HDFCBANK\part-00000.parquet,8029165,44.40887670000666
2026-07,INFY,8598,550272,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-07\symbol=INFY\part-00000.parquet,8064036,44.40887670000666
2026-07,RELIANCE,8590,549760,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-07\symbol=RELIANCE\part-00000.parquet,8065105,44.40887670000666
2026-08,HDFCBANK,7841,501824,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-08\symbol=HDFCBANK\part-00000.parquet,7459772,44.40887670000666
2026-08,INFY,7848,502272,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-08\symbol=INFY\part-00000.parquet,7482198,44.40887670000666
2026-08,RELIANCE,7850,502400,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-08\symbol=RELIANCE\part-00000.parquet,7503701,44.40887670000666
2026-09,HDFCBANK,8208,525312,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-09\symbol=HDFCBANK\part-00000.parquet,7872523,44.40887670000666
2026-09,INFY,8223,526272,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-09\symbol=INFY\part-00000.parquet,7798069,44.40887670000666
2026-09,RELIANCE,8223,526272,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-09\symbol=RELIANCE\part-00000.parquet,7802326,44.40887670000666
2026-10,HDFCBANK,8212,525568,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-10\symbol=HDFCBANK\part-00000.parquet,7769526,44.40887670000666
2026-10,INFY,8221,526144,64,raw_synthetic_l2_dense_phase50_multisymbol_x64\trade_month=2026-10\symbol=INFY\part-00000.parquet,7678045,44.40887670000666
