shard_index,shard_path,trade_date,symbol,variant_id,feature_family,execution_profile,trades,sum_gross_return,sum_cost_return,sum_net_return,mean_gross_return,mean_cost_return,mean_net_return,net_pnl_inr,worst_trade_pnl_inr,best_trade_pnl_inr,forward_horizon_events,cooldown_modulus,total_latency_events,fixed_slippage_ticks,internal_impact_bps,zerodha_charge_bps
1,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2026-01-01,ADANIPORTS,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,11,0.018664672749497124,0.001189215581303523,0.0174754571681936,0.001696788431772466,0.00010811050739122937,0.0015886779243812364,1747.5457168193602,-10.8542277216939,1666.3048198002707,20,25,0,0.0,0.0,0.0
1,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2026-01-01,ADANIPORTS,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,11,0.00016203078584930974,0.01321757291487194,-0.013055542129022631,1.473007144084634e-05,0.001201597537715631,-0.0011868674662747847,-1305.554212902263,-120.80292232956866,-103.88427858493867,20,25,2,1.0,0.5,8.26812
1,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2026-01-01,ADANIPORTS,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,11,-0.018664672749497124,0.001189215581303523,-0.019853888330800647,-0.001696788431772466,0.00010811050739122937,-0.0018048989391636953,-1985.3888330800646,-1688.0156317846315,-10.76889941848188,20,25,0,0.0,0.0,0.0
1,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2026-01-01,ADANIPORTS,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,11,-0.00016203078584930974,0.01321757291487194,-0.01337960370072125,-1.473007144084634e-05,0.001201597537715631,-0.0012163276091564773,-1337.960370072125,-136.29043575480063,-119.98789825544563,20,25,2,1.0,0.5,8.26812
2,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2026-01-01,AXISBANK,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,14,0.02203552205475734,0.0010395106754662296,0.020996011379291114,0.0015739658610540957,7.425076253330211e-05,0.001499715098520794,2099.601137929111,-156.41293013555463,2285.7142857143017,20,25,0,0.0,0.0,0.0
2,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2026-01-01,AXISBANK,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,14,-0.0008958323051685424,0.015399125156512854,-0.016294957461681397,-6.398802179775303e-05,0.0010999375111794896,-0.0011639255329772425,-1629.49574616814,-258.9905996722778,-20.65707131368535,20,25,2,1.0,0.5,8.26812
2,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2026-01-01,AXISBANK,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,14,-0.02203552205475734,0.0010395106754662296,-0.023075032730223564,-0.0015739658610540957,7.425076253330211e-05,-0.0016482166235873975,-2307.5032730223566,-2300.5565862708745,141.51646059883146,20,25,0,0.0,0.0,0.0
2,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2026-01-01,AXISBANK,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,14,0.0008958323051685424,0.015399125156512854,-0.014503292851344312,6.398802179775303e-05,0.0010999375111794896,-0.0010359494893817365,-1450.3292851344315,-199.3880811438762,38.93879106210826,20,25,2,1.0,0.5,8.26812
3,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2026-01-01,BAJAJ-AUTO,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,14,-0.003894220589149122,0.0020106173505694673,-0.005904837939718587,-0.0002781586135106516,0.00014361552504067623,-0.00042177413855132767,-590.4837939718589,-482.0312127141608,298.60810094879497,20,25,0,0.0,0.0,0.0
3,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2026-01-01,BAJAJ-AUTO,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,14,0.0016953665265355689,0.01830561515702191,-0.016610248630486338,0.00012109760903825492,0.0013075439397872792,-0.0011864463307490242,-1661.0248630486337,-500.34914625719847,182.02934279245918,20,25,2,1.0,0.5,8.26812
