metric,value,description
phase57_dense_shards_scanned,8,Dense shards scanned
phase57_observation_rows,1981976,Feature/label observations
phase57_train_rows,1382136,Chronological train rows
phase57_test_rows,599840,Chronological test rows
phase57_interaction_candidate_rows,14,Train-positive interaction cells evaluated on test
phase57_positive_test_rows,1,Interaction candidates positive after retail costs on test
phase57_scale_candidate_rows,1,Interaction candidates passing wider-replay gate
phase57_best_traded_test_net_pnl_inr,4093.6137619400224,Best test net P&L among interaction candidates with test trades
phase57_best_rule_key,abs_ret_bin=5|micro_bin=1|imb_bin=2|spread_bin=0|depth_bin=2,Best ranked interaction cell key
phase57_elapsed_seconds,37.60427809999965,Elapsed seconds
phase57_zerodha_cost_model_version,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Zerodha retail intraday cost model
phase57_recommend_scale_to_wider_dense_replay,1,1 means at least one supervised interaction candidate deserves wider replay
