rule_id,signal_id,feature,side_mode,bar_events,feature_quantile,abs_threshold
P60_BAR_MOMENTUM_B1000_Q50,BAR_MOMENTUM,prev_bar_return,sign,1000,0.5,0.0
P60_BAR_MOMENTUM_B1000_Q70,BAR_MOMENTUM,prev_bar_return,sign,1000,0.7,0.0010816657652785722
P60_BAR_MOMENTUM_B1000_Q90,BAR_MOMENTUM,prev_bar_return,sign,1000,0.9,0.0027977745438829693
P60_BAR_CONTRARIAN_B1000_Q50,BAR_CONTRARIAN,prev_bar_return,opposite,1000,0.5,0.0
P60_BAR_CONTRARIAN_B1000_Q70,BAR_CONTRARIAN,prev_bar_return,opposite,1000,0.7,0.0010816657652785722
P60_BAR_CONTRARIAN_B1000_Q90,BAR_CONTRARIAN,prev_bar_return,opposite,1000,0.9,0.0027977745438829693
P60_BAR_IMBALANCE_B1000_Q50,BAR_IMBALANCE,avg_l1_imbalance,sign,1000,0.5,0.08945686096268868
P60_BAR_IMBALANCE_B1000_Q70,BAR_IMBALANCE,avg_l1_imbalance,sign,1000,0.7,0.21618057777976413
P60_BAR_IMBALANCE_B1000_Q90,BAR_IMBALANCE,avg_l1_imbalance,sign,1000,0.9,0.5645048678866463
P60_BAR_MICROPRICE_B1000_Q50,BAR_MICROPRICE,avg_microprice_dev,sign,1000,0.5,7.0029534033509505e-06
P60_BAR_MICROPRICE_B1000_Q70,BAR_MICROPRICE,avg_microprice_dev,sign,1000,0.7,2.3358522200199812e-05
P60_BAR_MICROPRICE_B1000_Q90,BAR_MICROPRICE,avg_microprice_dev,sign,1000,0.9,7.740538810580716e-05
P60_BAR_MOMENTUM_B5000_Q50,BAR_MOMENTUM,prev_bar_return,sign,5000,0.5,0.00212317460386241
P60_BAR_MOMENTUM_B5000_Q70,BAR_MOMENTUM,prev_bar_return,sign,5000,0.7,0.003452977243062682
P60_BAR_MOMENTUM_B5000_Q90,BAR_MOMENTUM,prev_bar_return,sign,5000,0.9,0.005808534262312736
P60_BAR_CONTRARIAN_B5000_Q50,BAR_CONTRARIAN,prev_bar_return,opposite,5000,0.5,0.00212317460386241
P60_BAR_CONTRARIAN_B5000_Q70,BAR_CONTRARIAN,prev_bar_return,opposite,5000,0.7,0.003452977243062682
P60_BAR_CONTRARIAN_B5000_Q90,BAR_CONTRARIAN,prev_bar_return,opposite,5000,0.9,0.005808534262312736
P60_BAR_IMBALANCE_B5000_Q50,BAR_IMBALANCE,avg_l1_imbalance,sign,5000,0.5,0.08601854789954332
P60_BAR_IMBALANCE_B5000_Q70,BAR_IMBALANCE,avg_l1_imbalance,sign,5000,0.7,0.2145296241862669
P60_BAR_IMBALANCE_B5000_Q90,BAR_IMBALANCE,avg_l1_imbalance,sign,5000,0.9,0.5654618555146794
P60_BAR_MICROPRICE_B5000_Q50,BAR_MICROPRICE,avg_microprice_dev,sign,5000,0.5,8.222698341640727e-06
P60_BAR_MICROPRICE_B5000_Q70,BAR_MICROPRICE,avg_microprice_dev,sign,5000,0.7,2.3178614192380383e-05
P60_BAR_MICROPRICE_B5000_Q90,BAR_MICROPRICE,avg_microprice_dev,sign,5000,0.9,7.76804276353641e-05
P60_BAR_MOMENTUM_B10000_Q50,BAR_MOMENTUM,prev_bar_return,sign,10000,0.5,0.003713867531443482
P60_BAR_MOMENTUM_B10000_Q70,BAR_MOMENTUM,prev_bar_return,sign,10000,0.7,0.005445625041611079
P60_BAR_MOMENTUM_B10000_Q90,BAR_MOMENTUM,prev_bar_return,sign,10000,0.9,0.008244478628713742
P60_BAR_CONTRARIAN_B10000_Q50,BAR_CONTRARIAN,prev_bar_return,opposite,10000,0.5,0.003713867531443482
P60_BAR_CONTRARIAN_B10000_Q70,BAR_CONTRARIAN,prev_bar_return,opposite,10000,0.7,0.005445625041611079
P60_BAR_CONTRARIAN_B10000_Q90,BAR_CONTRARIAN,prev_bar_return,opposite,10000,0.9,0.008244478628713742
P60_BAR_IMBALANCE_B10000_Q50,BAR_IMBALANCE,avg_l1_imbalance,sign,10000,0.5,0.0872480045294036
P60_BAR_IMBALANCE_B10000_Q70,BAR_IMBALANCE,avg_l1_imbalance,sign,10000,0.7,0.21484523106254622
P60_BAR_IMBALANCE_B10000_Q90,BAR_IMBALANCE,avg_l1_imbalance,sign,10000,0.9,0.5667078887620599
P60_BAR_MICROPRICE_B10000_Q50,BAR_MICROPRICE,avg_microprice_dev,sign,10000,0.5,9.708658294222253e-06
P60_BAR_MICROPRICE_B10000_Q70,BAR_MICROPRICE,avg_microprice_dev,sign,10000,0.7,2.3187546198128894e-05
P60_BAR_MICROPRICE_B10000_Q90,BAR_MICROPRICE,avg_microprice_dev,sign,10000,0.9,7.752733552648354e-05
