shard_index,trade_date,symbol,trades,sum_gross_return,sum_cost_return,sum_net_return,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,mean_net_return,precision_cost_clear,worst_trade_pnl_inr,best_trade_pnl_inr,positive_after_costs,shard_path,trade_month_partition,partition_symbol,instrument_class,loss_reason,trade_month,dominant_regime_code,dominant_feed_profile,bounded_rows,bounded_trade_dates,regime_codes_seen,feed_profiles_seen,market_shock_row_fraction,symbol_shock_row_fraction,disconnect_row_fraction,out_of_order_row_fraction
17,2026-01-01,ITC,14,0.0115155677753845,0.0159625318606708,-0.0044469640852863,-444.6964085286304,1151.556777538454,1596.253186067084,-0.0003176402918061,0.5,-469.8354836829025,287.9302605171488,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITC\part-00000.parquet,2026-01,ITC,EQUITY,cost_drag_over_gross_edge,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
18,2026-01-01,JUNIORBEES,8,-0.010987067518731,0.0112866987751236,-0.0222737662938546,-2227.3766293854646,-1098.706751873102,1128.6698775123632,-0.0027842207867318,0.375,-2000.439232952482,364.9003095452424,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=JUNIORBEES\part-00000.parquet,2026-01,JUNIORBEES,ETF,wrong_direction,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
19,2026-01-01,KOTAKBANK,19,0.0455535713262509,0.0240547432013458,0.0214988281249051,2149.8828124905112,4555.357132625093,2405.474320134582,0.0011315172697318,0.5789473684210527,-937.5765974895488,2512.7307464469677,True,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet,2026-01,KOTAKBANK,EQUITY,positive_after_costs,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
20,2026-01-01,LT,14,-0.0249022547206455,0.0149063574960035,-0.039808612216649,-3980.861221664906,-2490.225472064555,1490.63574960035,-0.0028434723011892,0.2857142857142857,-1753.760184485195,511.65990491637984,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=LT\part-00000.parquet,2026-01,LT,EQUITY,wrong_direction,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
21,2026-01-01,M&M,16,0.008952298838373,0.0170163345054424,-0.0080640356670694,-806.4035667069451,895.2298838373005,1701.633450544245,-0.0005040022291918,0.4375,-1695.0290760045884,810.0915727727844,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=M&M\part-00000.parquet,2026-01,M&M,EQUITY,cost_drag_over_gross_edge,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.031744,0.023808
22,2026-01-01,MARUTI,11,0.0165721323706719,0.0143622009316277,0.0022099314390441,220.99314390441927,1657.21323706719,1436.2200931627706,0.0002009028580949,0.4545454545454545,-428.97812832764674,576.5307702548539,True,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=MARUTI\part-00000.parquet,2026-01,MARUTI,EQUITY,positive_after_costs,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
23,2026-01-01,NESTLEIND,16,0.0293057824259129,0.0206174922210744,0.0086882902048385,868.8290204838546,2930.5782425912976,2061.749222107442,0.0005430181378024,0.5,-1877.054236470438,2018.5331750869,True,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NESTLEIND\part-00000.parquet,2026-01,NESTLEIND,EQUITY,positive_after_costs,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
24,2026-01-01,NIFTYBEES,13,0.0197958986728096,0.0141958983397576,0.005600000333052,560.0000333052011,1979.589867280962,1419.589833975761,0.0004307692563886,0.5384615384615384,-98.36229801685916,331.818293707524,True,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet,2026-01,NIFTYBEES,ETF,positive_after_costs,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
25,2026-01-01,ONGC,20,0.0108660809534532,0.0235031478243351,-0.0126370668708819,-1263.7066870881922,1086.6080953453202,2350.314782433513,-0.000631853343544,0.3,-555.1940317351736,743.9821266533096,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ONGC\part-00000.parquet,2026-01,ONGC,EQUITY,cost_drag_over_gross_edge,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
26,2026-01-01,RELIANCE,21,0.0432423839636538,0.0231792588017545,0.0200631251618992,2006.3125161899293,4324.238396365387,2317.9258801754577,0.0009553869124713,0.5238095238095238,-760.2930500604983,1527.790927417511,True,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,2026-01,RELIANCE,EQUITY,positive_after_costs,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.015872
27,2026-01-01,SBIN,19,0.0253590728662097,0.0220572560025766,0.0033018168636331,330.1816863633146,2535.907286620976,2205.725600257661,0.000173779834928,0.4736842105263157,-1204.4709028203652,1080.7892530217296,True,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SBIN\part-00000.parquet,2026-01,SBIN,EQUITY,positive_after_costs,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
28,2026-01-01,SUNPHARMA,16,-0.0061208932438505,0.0189420273945643,-0.0250629206384149,-2506.292063841496,-612.0893243850562,1894.2027394564395,-0.0015664325399009,0.25,-1839.7371840629316,666.3582973070057,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SUNPHARMA\part-00000.parquet,2026-01,SUNPHARMA,EQUITY,wrong_direction,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
29,2026-01-01,TCS,15,0.0054078168140201,0.0172062972608056,-0.0117984804467855,-1179.84804467855,540.7816814020139,1720.6297260805638,-0.000786565363119,0.3333333333333333,-462.4328705797423,488.7269151000989,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TCS\part-00000.parquet,2026-01,TCS,EQUITY,cost_drag_over_gross_edge,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
30,2026-01-01,TECHM,22,0.0018829273913364,0.0300560530689248,-0.0281731256775883,-2817.312567758838,188.292739133644,3005.605306892481,-0.0012805966217085,0.4090909090909091,-2148.6306041805137,806.8604693773958,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TECHM\part-00000.parquet,2026-01,TECHM,EQUITY,cost_drag_over_gross_edge,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
31,2026-01-01,ULTRACEMCO,18,-0.0212782366452126,0.0226634251385174,-0.0439416617837301,-4394.166178373012,-2127.823664521267,2266.342513851744,-0.0024412034324294,0.2777777777777778,-1627.6606097460474,464.9215166118293,False,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ULTRACEMCO\part-00000.parquet,2026-01,ULTRACEMCO,EQUITY,wrong_direction,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
32,2026-01-01,WIPRO,17,0.0220641592771436,0.0205208582900667,0.0015433009870769,154.33009870769112,2206.4159277143667,2052.085829006676,9.078241100452424e-05,0.5294117647058824,-459.3471379099289,540.7948845383856,True,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=WIPRO\part-00000.parquet,2026-01,WIPRO,EQUITY,positive_after_costs,2026-01,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
33,2026-02-02,ADANIPORTS,12,-0.0266194500438194,0.0144843851331383,-0.0411038351769578,-4110.383517695789,-2661.945004381949,1448.43851331384,-0.0034253195980798,0.1666666666666666,-702.2891130768729,50.2726682264702,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ADANIPORTS\part-00000.parquet,2026-02,ADANIPORTS,EQUITY,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.015872
34,2026-02-02,AXISBANK,14,-0.0139097267611086,0.015431549334279,-0.0293412760953877,-2934.127609538775,-1390.9726761108686,1543.154933427906,-0.0020958054353848,0.2142857142857142,-1151.1945125093025,365.7992625500847,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=AXISBANK\part-00000.parquet,2026-02,AXISBANK,EQUITY,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
35,2026-02-02,BAJAJ-AUTO,19,0.0008918355063554,0.0249292258792485,-0.0240373903728931,-2403.7390372893187,89.18355063554091,2492.92258792486,-0.0012651258090996,0.3684210526315789,-730.2045644859711,1315.660088782819,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BAJAJ-AUTO\part-00000.parquet,2026-02,BAJAJ-AUTO,EQUITY,cost_drag_over_gross_edge,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
36,2026-02-02,BANKBEES,8,-0.0126409693478792,0.0112100208961885,-0.0238509902440678,-2385.09902440678,-1264.096934787928,1121.002089618852,-0.0029813737805084,0.0,-470.1776322458717,-51.84010109523575,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BANKBEES\part-00000.parquet,2026-02,BANKBEES,ETF,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
37,2026-02-02,BHARTIARTL,9,-0.0162172051048118,0.0100006949661222,-0.0262179000709341,-2621.790007093411,-1621.7205104811835,1000.0694966122276,-0.0029131000078815,0.0,-526.4159625052467,-95.49451388685118,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BHARTIARTL\part-00000.parquet,2026-02,BHARTIARTL,EQUITY,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
38,2026-02-02,BPCL,15,-0.0084518024865815,0.0168026520295665,-0.025254454516148,-2525.445451614805,-845.1802486581505,1680.2652029566543,-0.0016836303010765,0.2666666666666666,-548.9955412107512,229.6499635475764,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BPCL\part-00000.parquet,2026-02,BPCL,EQUITY,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
39,2026-02-02,BRITANNIA,9,-0.0008551210742154,0.0129150019073271,-0.0137701229815425,-1377.0122981542586,-85.51210742154814,1291.50019073271,-0.0015300136646158,0.2222222222222222,-451.6229693169143,421.6723839970418,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BRITANNIA\part-00000.parquet,2026-02,BRITANNIA,EQUITY,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.023808
40,2026-02-02,CIPLA,12,-0.0052033000561908,0.0155360865374199,-0.0207393865936108,-2073.9386593610834,-520.3300056190849,1553.6086537419983,-0.0017282822161342,0.3333333333333333,-914.0127047566172,723.9170241953223,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=CIPLA\part-00000.parquet,2026-02,CIPLA,EQUITY,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.015872,0.015872
41,2026-02-02,DRREDDY,7,-0.0087344049033433,0.0086854619849662,-0.0174198668883095,-1741.9866888309532,-873.4404903343317,868.5461984966212,-0.0024885524126156,0.0,-398.5913187111511,-99.84566354717018,False,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=DRREDDY\part-00000.parquet,2026-02,DRREDDY,EQUITY,wrong_direction,2026-02,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
