shard_index,trade_month,symbol,dominant_regime_code,dominant_feed_profile,bounded_rows,bounded_trade_dates,regime_codes_seen,feed_profiles_seen,market_shock_row_fraction,symbol_shock_row_fraction,disconnect_row_fraction,out_of_order_row_fraction
17,2026-01,ITC,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
18,2026-01,JUNIORBEES,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
19,2026-01,KOTAKBANK,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
20,2026-01,LT,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
21,2026-01,M&M,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.031744,0.023808
22,2026-01,MARUTI,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
23,2026-01,NESTLEIND,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
24,2026-01,NIFTYBEES,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
25,2026-01,ONGC,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
26,2026-01,RELIANCE,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.015872
27,2026-01,SBIN,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
28,2026-01,SUNPHARMA,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
29,2026-01,TCS,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
30,2026-01,TECHM,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
31,2026-01,ULTRACEMCO,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
32,2026-01,WIPRO,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
33,2026-02,ADANIPORTS,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.015872
34,2026-02,AXISBANK,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
35,2026-02,BAJAJ-AUTO,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
36,2026-02,BANKBEES,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
37,2026-02,BHARTIARTL,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
38,2026-02,BPCL,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
39,2026-02,BRITANNIA,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.023808
40,2026-02,CIPLA,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.015872,0.015872
41,2026-02,DRREDDY,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
42,2026-02,GOLDBEES,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
43,2026-02,HCLTECH,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
44,2026-02,HDFCBANK,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.007936
45,2026-02,HINDUNILVR,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
46,2026-02,ICICIBANK,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.015872
47,2026-02,INFY,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
48,2026-02,ITBEES,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
49,2026-02,ITC,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
50,2026-02,JUNIORBEES,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
51,2026-02,KOTAKBANK,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.0
52,2026-02,LT,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
53,2026-02,M&M,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.015872
54,2026-02,MARUTI,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.015872,0.007936
55,2026-02,NESTLEIND,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.015872,0.0
56,2026-02,NIFTYBEES,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
57,2026-02,ONGC,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.007936,0.015872
58,2026-02,RELIANCE,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
59,2026-02,SBIN,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
60,2026-02,SUNPHARMA,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.0
61,2026-02,TCS,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.023808,0.0
62,2026-02,TECHM,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
63,2026-02,ULTRACEMCO,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.015872
64,2026-02,WIPRO,D04,disconnect_scenario,250000,1,1,2,0.0,0.0,0.0,0.007936
