month_index,trade_month,symbol,shard_path,trade_dates,trades,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,sum_net_return,precision_cost_clear,positive_after_costs
1,2026-01,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet,1,19,2149.8828124905112,4555.357132625093,2405.474320134582,0.021498828124905108,0.5789473684210527,True
2,2026-02,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=KOTAKBANK\part-00000.parquet,1,11,-2080.7185319251357,-684.3293331482591,1396.3891987768766,-0.020807185319251357,0.18181818181818182,False
3,2026-03,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=KOTAKBANK\part-00000.parquet,1,13,-3337.0230290036525,-1686.2672856112981,1650.755743392354,-0.03337023029003652,0.3076923076923077,False
4,2026-04,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=KOTAKBANK\part-00000.parquet,1,29,-8728.969358799475,-4523.655775805103,4205.313582994375,-0.08728969358799474,0.4827586206896552,False
5,2026-05,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=KOTAKBANK\part-00000.parquet,1,16,-1664.1214901172718,364.6056082268643,2028.7270983441365,-0.01664121490117272,0.3125,False
6,2026-06,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=KOTAKBANK\part-00000.parquet,1,2,-492.73875546152146,-238.03226659613318,254.70648886538822,-0.004927387554615215,0.0,False
7,2026-07,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=KOTAKBANK\part-00000.parquet,1,20,-3655.835949071018,-1111.0594784975451,2544.776470573473,-0.03655835949071018,0.25,False
8,2026-08,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=KOTAKBANK\part-00000.parquet,1,12,-2237.2566719969623,-715.2581079384878,1521.9985640584741,-0.02237256671996962,0.25,False
9,2026-09,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-09\symbol=KOTAKBANK\part-00000.parquet,1,3,-301.4681598990611,79.2763783555195,380.74453825458056,-0.0030146815989906114,0.3333333333333333,False
10,2026-10,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-10\symbol=KOTAKBANK\part-00000.parquet,1,4,-678.2798532840254,-170.70595228600993,507.5739009980156,-0.006782798532840255,0.25,False
11,2026-11,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-11\symbol=KOTAKBANK\part-00000.parquet,1,16,-4184.239443674865,-2158.402208357169,2025.837235317696,-0.04184239443674864,0.0625,False
12,2026-12,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-12\symbol=KOTAKBANK\part-00000.parquet,1,10,1110.5108054795624,2381.056654113356,1270.5458486337936,0.01110510805479562,0.6,True
