strategy_id,side,spread_bucket,imbalance_bucket,shard_symbol_label_rows,symbols,trade_dates,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,touch_rate,label_candidate
P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,2,2,1,247916,2350,-8.74538446218709,-7.060688515265201,-17.0135044621871,1.0,0.0,-103.34657865822882,-0.24621041141759115,3.093187555656169,0.3641474336275091,0.009479017086432501,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,2,2,1,249900,3600,-12.441484706232682,-10.87326832509089,-20.709604706232692,1.0,0.0,-58.43017061937572,-0.2458009012695772,3.000381935191071,0.36008500908603724,0.014405762304921969,False
P66_JOIN_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,1,1,1,247916,3800,-12.600821274330542,-8.282007961842307,-20.868941274330563,1.0,0.0,-106.5420087159219,0.0,3.555954075928058,0.6972820306922527,0.01532777230997596,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,1,1,1,245932,3050,-15.505044131629308,-10.825858335909988,-23.773164131629297,1.0,0.0,-78.50985221674934,-1.5379883112898174,3.088492394037665,0.7409319230205476,0.012401802124164403,False
P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I03_0p60_0p80,1,1,1,247916,3700,-16.136737816289656,-12.324108291308367,-24.404857816289592,1.0,0.0,-114.24083395808692,-1.0710460549812062,1.4327347675030397,0.6214443122278354,0.014924409880766066,False
P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,2,2,1,491864,6950,-18.288754142510136,-14.003410972311393,-26.556874142510175,1.0,0.0,-87.11978971085222,-0.8727526618967918,1.6325561078621462,0.4771670389149518,0.014129922092285672,False
P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,1,1,1,245932,2350,-18.400805934812517,-13.916808411937875,-26.668925934812467,1.0,0.0,-78.52193995381174,-1.5368065160581423,3.08849239403765,0.740931923020528,0.0095554868825529,False
P66_FADE_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,1,1,1,247916,2100,-20.187596211124937,-12.914075593484231,-28.455716211124884,1.0,0.0,-194.0877119874729,0.0,3.555954075928277,0.6972820306922277,0.008470611013407767,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,3,3,1,727876,10300,-20.432576249529475,-13.156777862660674,-28.700696249529518,1.0,0.0,-196.23875715453764,0.0,2.679025347095535,0.4729426015542015,0.014150761942968307,False
P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,2,2,1,491864,5100,-21.076710175912744,-14.977982040505488,-29.34483017591277,1.0,0.0,-196.7987404880589,0.0,1.63255610786213,0.47716703891493845,0.010368719808727616,False
P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I03_0p60_0p80,1,1,1,247916,2350,-21.76665402243469,-9.959096567667691,-30.034774022434636,1.0,0.0,-214.7588859605376,-1.426991545075973,1.4327347675029072,0.6214443122278117,0.009479017086432501,False
P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,3,3,1,394564,5900,-21.89642091831708,-16.258510313992282,-30.16454091831709,1.0,0.0,-120.19806724702487,0.0,1.9494256248886488,0.3254873948246757,0.01495321418071593,False
P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,1,1,1,236012,3500,-22.541503023096357,-14.268727705113449,-30.809623023096332,0.9714285714285714,0.0,-213.43638525564867,2.220446049250313e-12,1.1974263956253666,0.5711840326371106,0.014829754419266816,False
P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,3,3,1,727876,7500,-24.393454625418823,-16.312104941207384,-32.66157462541881,1.0,0.0,-248.3869607388356,0.0,2.679025347095609,0.47294260155421014,0.010303952871093428,False
P66_FADE_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,1,1,1,236012,2400,-26.872192579136208,-12.842905927247795,-35.14031257913612,1.0,0.0,-240.5169319133682,0.0,1.1974263956253373,0.5711840326371063,0.010168974458925817,False
P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,3,3,1,394564,3900,-28.319574769628446,-15.621590014245346,-36.58769476962846,1.0,0.0,-294.15836101882473,0.0,1.9494256248886064,0.3254873948246704,0.009884328017761377,False
