quarter_profile,scenario_day,trade_date,regime_code,events,market_events,ticker_events,targets
Q-A,2,2026-07-15,D12,25,5,20,ADANIPORTS|AXISBANK|BAJAJ-AUTO|BANKBEES|BHARTIARTL
Q-A,5,2026-07-20,D07,57,5,52,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES
Q-A,18,2026-08-06,D17,24,0,24,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|HCLTECH
Q-A,28,2026-08-20,D12,17,5,12,ADANIPORTS|BAJAJ-AUTO|HDFCBANK
Q-A,32,2026-08-26,D20,37,5,32,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY
Q-A,33,2026-08-27,D19,4,0,4,ICICIBANK
Q-A,34,2026-08-28,D19,4,0,4,INFY
Q-A,36,2026-09-01,D12,17,5,12,ADANIPORTS|BAJAJ-AUTO|LT
Q-A,38,2026-09-03,D18,4,0,4,M&M
Q-A,39,2026-09-04,D13,45,5,40,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR
Q-A,41,2026-09-08,D18,4,0,4,MARUTI
Q-A,42,2026-09-09,D07,73,5,68,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK|NESTLEIND|ONGC|SUNPHARMA
Q-A,46,2026-09-15,D17,12,0,12,ADANIPORTS|BAJAJ-AUTO|NIFTYBEES
Q-A,51,2026-09-22,D18,4,0,4,RELIANCE
Q-A,52,2026-09-23,D07,61,5,56,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK
Q-A,61,2026-10-06,D12,29,5,24,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|SBIN
Q-A,63,2026-10-08,D12,17,5,12,ADANIPORTS|BAJAJ-AUTO|TCS
Q-B,2,2026-07-15,D05,9,5,4,ADANIPORTS
Q-B,3,2026-07-16,D07,41,5,36,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES
Q-B,5,2026-07-20,D13,32,0,32,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY
Q-B,8,2026-07-23,D05,9,5,4,ADANIPORTS
Q-B,14,2026-07-31,D18,4,0,4,TECHM
Q-B,22,2026-08-12,D12,33,5,28,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|ULTRACEMCO
Q-B,23,2026-08-13,D12,21,5,16,ADANIPORTS|BAJAJ-AUTO|BANKBEES|WIPRO
Q-B,28,2026-08-20,D12,13,5,8,ADANIPORTS|BAJAJ-AUTO
Q-B,29,2026-08-21,D04,17,5,12,ADANIPORTS|BAJAJ-AUTO|BANKBEES
Q-B,30,2026-08-24,D12,25,5,20,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL
Q-B,33,2026-08-27,D12,25,5,20,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL
Q-B,35,2026-08-31,D08,9,5,4,ADANIPORTS
Q-B,39,2026-09-04,D05,9,5,4,ADANIPORTS
Q-B,47,2026-09-16,D01,9,5,4,ADANIPORTS
Q-B,54,2026-09-25,D20,73,5,68,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK|NESTLEIND|ONGC|SUNPHARMA
Q-B,58,2026-10-01,D06,13,5,8,ADANIPORTS|BAJAJ-AUTO
Q-B,59,2026-10-02,D17,20,0,20,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL
Q-B,60,2026-10-05,D06,9,5,4,ADANIPORTS
Q-B,62,2026-10-07,D17,16,0,16,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL
Q-B,63,2026-10-08,D08,13,5,8,ADANIPORTS|BAJAJ-AUTO
Q-C,3,2026-07-16,D07,73,5,68,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK|NESTLEIND|ONGC|SUNPHARMA
Q-C,11,2026-07-28,D12,17,5,12,ADANIPORTS|BAJAJ-AUTO|BANKBEES
Q-C,13,2026-07-30,D07,49,5,44,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES
Q-C,14,2026-07-31,D09,9,5,4,ADANIPORTS
Q-C,16,2026-08-04,D12,29,5,24,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA
Q-C,20,2026-08-10,D12,25,5,20,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL
Q-C,28,2026-08-20,D07,53,5,48,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC
Q-C,35,2026-08-31,D07,61,5,56,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK
Q-C,37,2026-09-02,D13,24,0,24,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA
Q-C,41,2026-09-08,D13,24,0,24,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA
Q-C,42,2026-09-09,D20,61,5,56,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK
Q-C,46,2026-09-15,D17,8,0,8,ADANIPORTS|BAJAJ-AUTO
Q-C,47,2026-09-16,D12,17,5,12,ADANIPORTS|BAJAJ-AUTO|BANKBEES
Q-C,49,2026-09-18,D17,16,0,16,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL
Q-C,51,2026-09-22,D17,20,0,20,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL
Q-C,52,2026-09-23,D07,53,5,48,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC
Q-C,59,2026-10-02,D20,41,5,36,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES
Q-C,61,2026-10-06,D12,17,5,12,ADANIPORTS|BAJAJ-AUTO|BANKBEES
Q-C,63,2026-10-08,D07,73,5,68,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK|NESTLEIND|ONGC|SUNPHARMA
