shock_id,counterfactual_group,variant,quarter_profile,scenario_day,trade_date,regime_code,regime_family,scope,target,shock_type,required_l2_effects,evidence_label,start_time,duration_minutes,price_jump_bps,drift_after_jump_bps,volatility_multiplier,event_rate_multiplier,spread_multiplier,depth_multiplier_bid,depth_multiplier_ask,buy_sell_flow_bias,correlation_multiplier,recovery_half_life_minutes,reversal_probability
Q-A-002-D12-M-no_shock,Q-A-002-D12,no_shock,Q-A,2,2026-07-15,D12,Event day,market,ALL,scheduled_event_decision,pre-event lull;two-sided volatility;directional follow-through or fade,synthetic_shock_design,14:00:00,60,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2,45,0.3441
Q-A-002-D12-M-positive_shock,Q-A-002-D12,positive_shock,Q-A,2,2026-07-15,D12,Event day,market,ALL,scheduled_event_decision,pre-event lull;two-sided volatility;directional follow-through or fade,synthetic_shock_design,13:15:00,45,74.5449,-6.859,4.5973,3.741,1.833,0.9794,0.6525,0.5889,1.5856,45,0.2215
Q-A-002-D12-M-negative_shock,Q-A-002-D12,negative_shock,Q-A,2,2026-07-15,D12,Event day,market,ALL,scheduled_event_decision,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:00:00,60,-85.9445,-4.4305,2.4772,1.6214,2.2047,0.328,0.6948,-0.261,2.0748,15,0.232
Q-A-002-D12-M-quick_recovery,Q-A-002-D12,quick_recovery,Q-A,2,2026-07-15,D12,Event day,market,ALL,scheduled_event_decision,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,11:45:00,45,-115.03,69.018,4.5955,1.9095,1.9133,0.3507,0.8854,-0.4274,1.5728,5,0.6326
Q-A-002-D12-M-continuation,Q-A-002-D12,continuation,Q-A,2,2026-07-15,D12,Event day,market,ALL,scheduled_event_decision,pre-event lull;two-sided volatility;directional follow-through or fade,synthetic_shock_design,10:30:00,45,89.0308,40.0639,4.0785,1.73,2.3829,0.6899,0.3375,0.7797,1.3653,60,0.1654
Q-A-002-D12-T-ADANIPORTS-positive_shock,Q-A-002-D12-ADANIPORTS,positive_shock,Q-A,2,2026-07-15,D12,Event day,ticker,ADANIPORTS,guidance_change,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:15:00,45,36.2429,0.7339,3.8927,2.6012,1.4276,0.8447,0.3709,0.4665,1.2746,45,0.3757
Q-A-002-D12-T-ADANIPORTS-negative_shock,Q-A-002-D12-ADANIPORTS,negative_shock,Q-A,2,2026-07-15,D12,Event day,ticker,ADANIPORTS,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:30:00,45,-154.7067,16.0751,3.595,3.004,2.9344,0.3217,0.6758,-0.3031,1.3957,15,0.2232
Q-A-002-D12-T-ADANIPORTS-quick_recovery,Q-A-002-D12-ADANIPORTS,quick_recovery,Q-A,2,2026-07-15,D12,Event day,ticker,ADANIPORTS,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:00:00,45,-74.5264,44.7159,3.336,2.0222,1.8718,0.3287,0.6647,-0.3188,1.6641,15,0.6776
Q-A-002-D12-T-ADANIPORTS-continuation,Q-A-002-D12-ADANIPORTS,continuation,Q-A,2,2026-07-15,D12,Event day,ticker,ADANIPORTS,guidance_change,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:15:00,30,105.3823,47.422,2.2947,3.5863,2.1819,0.9384,0.5163,0.8222,1.7597,120,0.1581
Q-A-002-D12-T-BAJAJ-AUTO-positive_shock,Q-A-002-D12-BAJAJ-AUTO,positive_shock,Q-A,2,2026-07-15,D12,Event day,ticker,BAJAJ-AUTO,regulatory_action,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,10:30:00,60,85.0033,12.9221,3.7569,1.8566,3.0413,0.8451,0.3511,0.4789,1.6185,45,0.3777
