shard_index,trade_month,symbol,row_count,market_shock_rows,symbol_shock_rows,regime_count,dominant_regime_code,dominant_feed_profile,has_market_shock,has_symbol_shock
1,2026-01,ADANIPORTS,250000,0,0,1,D04,disconnect_scenario,False,False
2,2026-01,AXISBANK,250000,0,0,1,D04,disconnect_scenario,False,False
3,2026-01,BAJAJ-AUTO,250000,0,0,1,D04,disconnect_scenario,False,False
4,2026-01,BANKBEES,250000,0,0,1,D04,disconnect_scenario,False,False
5,2026-01,BHARTIARTL,250000,0,0,1,D04,disconnect_scenario,False,False
6,2026-01,BPCL,250000,0,0,1,D04,disconnect_scenario,False,False
7,2026-01,BRITANNIA,250000,0,0,1,D04,disconnect_scenario,False,False
8,2026-01,CIPLA,250000,0,0,1,D04,disconnect_scenario,False,False
9,2026-01,DRREDDY,250000,0,0,1,D04,disconnect_scenario,False,False
10,2026-01,GOLDBEES,250000,0,0,1,D04,disconnect_scenario,False,False
11,2026-01,HCLTECH,250000,0,0,1,D04,disconnect_scenario,False,False
12,2026-01,HDFCBANK,250000,0,0,1,D04,disconnect_scenario,False,False
13,2026-01,HINDUNILVR,250000,0,0,1,D04,disconnect_scenario,False,False
14,2026-01,ICICIBANK,250000,0,0,1,D04,disconnect_scenario,False,False
15,2026-01,INFY,250000,0,0,1,D04,disconnect_scenario,False,False
16,2026-01,ITBEES,250000,0,0,1,D04,disconnect_scenario,False,False
17,2026-01,ITC,250000,0,0,1,D04,disconnect_scenario,False,False
18,2026-01,JUNIORBEES,250000,0,0,1,D04,disconnect_scenario,False,False
19,2026-01,KOTAKBANK,250000,0,0,1,D04,disconnect_scenario,False,False
20,2026-01,LT,250000,0,0,1,D04,disconnect_scenario,False,False
21,2026-01,M&M,250000,0,0,1,D04,disconnect_scenario,False,False
22,2026-01,MARUTI,250000,0,0,1,D04,disconnect_scenario,False,False
23,2026-01,NESTLEIND,250000,0,0,1,D04,disconnect_scenario,False,False
24,2026-01,NIFTYBEES,250000,0,0,1,D04,disconnect_scenario,False,False
25,2026-01,ONGC,250000,0,0,1,D04,disconnect_scenario,False,False
26,2026-01,RELIANCE,250000,0,0,1,D04,disconnect_scenario,False,False
27,2026-01,SBIN,250000,0,0,1,D04,disconnect_scenario,False,False
28,2026-01,SUNPHARMA,250000,0,0,1,D04,disconnect_scenario,False,False
29,2026-01,TCS,250000,0,0,1,D04,disconnect_scenario,False,False
30,2026-01,TECHM,250000,0,0,1,D04,disconnect_scenario,False,False
31,2026-01,ULTRACEMCO,250000,0,0,1,D04,disconnect_scenario,False,False
32,2026-01,WIPRO,250000,0,0,1,D04,disconnect_scenario,False,False
33,2026-02,ADANIPORTS,250000,0,0,1,D04,disconnect_scenario,False,False
34,2026-02,AXISBANK,250000,0,0,1,D04,disconnect_scenario,False,False
35,2026-02,BAJAJ-AUTO,250000,0,0,1,D04,disconnect_scenario,False,False
36,2026-02,BANKBEES,250000,0,0,1,D04,disconnect_scenario,False,False
37,2026-02,BHARTIARTL,250000,0,0,1,D04,disconnect_scenario,False,False
38,2026-02,BPCL,250000,0,0,1,D04,disconnect_scenario,False,False
39,2026-02,BRITANNIA,250000,0,0,1,D04,disconnect_scenario,False,False
40,2026-02,CIPLA,250000,0,0,1,D04,disconnect_scenario,False,False
41,2026-02,DRREDDY,250000,0,0,1,D04,disconnect_scenario,False,False
