retest_trade_month,trade_date,global_time_bucket_id,symbols_present,fresh_symbols,total_rows,min_first_timestamp_seconds,max_last_timestamp_seconds,max_staleness_seconds,median_staleness_seconds,expected_symbols,coverage_fraction,fresh_fraction,coverage_pass
2026-02,2026-02-02,357322,32,32,621156,1786612500.0,1786614999.0,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357323,32,32,2004614,1786615000.0,1786619999.0,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357324,32,32,2069016,1786620000.0,1786624999.0,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357325,32,32,1857362,1786625000.0,1786629999.0,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-02,357326,32,32,1040848,1786630000.0,1786634999.0,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357806,32,32,945348,1789031500.0,1789034999.0,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357807,32,32,2065438,1789035000.0,1789039999.0,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357808,32,32,2079852,1789040000.0,1789044999.0,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357809,32,32,1624446,1789045000.0,1789049999.0,1.0,1.0,32,1.0,1.0,True
2026-03,2026-03-02,357810,32,32,986212,1789050000.0,1789054999.0,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356821,32,32,835996,1784106500.0,1784109999.0,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356822,32,32,1950978,1784110000.0,1784114999.0,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356823,32,32,1998978,1784115000.0,1784119999.0,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356824,32,32,1692152,1784120000.0,1784124999.0,1.0,1.0,32,1.0,1.0,True
2026-04,2026-04-01,356825,32,32,986288,1784125000.0,1784129999.0,17.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357339,32,32,136400,1786698500.0,1786699999.0,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357340,32,32,1935646,1786700000.0,1786704999.0,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357341,32,32,2034036,1786705000.0,1786709999.0,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357342,32,32,2065408,1786710000.0,1786714999.0,1.0,1.0,32,1.0,1.0,True
2026-05,2026-05-01,357343,32,32,1092678,1786715000.0,1786719999.0,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357875,32,32,702608,1789377000.0,1789379999.0,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357876,32,32,2011650,1789380000.0,1789384999.0,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357877,32,32,2064040,1789385000.0,1789389999.0,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357878,32,32,1823962,1789390000.0,1789394999.0,1.0,1.0,32,1.0,1.0,True
2026-06,2026-06-01,357879,32,32,996624,1789395000.0,1789399999.0,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356855,32,32,12950,1784279500.0,1784279999.0,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356856,32,32,1732750,1784280000.0,1784284999.0,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356857,32,32,2018694,1784285000.0,1784289999.0,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356858,32,32,2065946,1784290000.0,1784294999.0,1.0,1.0,32,1.0,1.0,True
2026-07,2026-07-01,356859,32,32,1253768,1784295000.0,1784299999.0,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357426,32,32,1254232,1787130500.0,1787134999.0,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357427,32,32,2014530,1787135000.0,1787139999.0,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357428,32,32,2089622,1787140000.0,1787144999.0,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357429,32,32,1550068,1787145000.0,1787149999.0,1.0,1.0,32,1.0,1.0,True
2026-08,2026-08-03,357430,32,32,868676,1787150000.0,1787154999.0,517.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357927,32,32,1021406,1789636500.0,1789639999.0,1.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357928,32,32,2036498,1789640000.0,1789644999.0,1.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357929,32,32,2055766,1789645000.0,1789649999.0,1.0,1.0,32,1.0,1.0,True
