trade_month,compact_rows,compact_days,compact_regime_codes,compact_regime_entropy_bits,compact_feed_profiles,compact_feed_entropy_bits,compact_market_shock_rows,compact_symbol_shock_rows,dense_prefix_regime_codes,dense_prefix_regime_entropy_bits,dense_prefix_feed_profiles,dense_prefix_feed_entropy_bits,dense_prefix_market_shock_symbols,dense_prefix_symbol_shock_symbols,regime_code_capture_fraction,regime_entropy_capture_fraction,feed_profile_capture_fraction,dense_prefix_sampling_bias
2026-01,263102,22,11,3.299510609572835,5,2.321911698022172,23869,8202,1,-0.0,2,0.9757167998142536,0,0,0.09090909090909091,-0.0,0.4,True
2026-02,238970,20,12,3.4216251480120623,5,2.3219069144377644,35785,14548,1,-0.0,2,0.9792806561120958,0,0,0.08333333333333333,-0.0,0.4,True
2026-03,262973,22,12,3.2649802550704656,5,2.321907790515732,23833,8572,1,-0.0,2,0.9758490290402556,0,0,0.08333333333333333,-0.0,0.4,True
2026-04,262883,22,11,3.1134087260134287,5,2.321907466451698,35777,10425,1,-0.0,2,0.9791583164516202,32,1,0.09090909090909091,-0.0,0.4,True
2026-05,251038,21,12,3.4043928861497954,5,2.3219113082517953,35821,6334,1,-0.0,2,0.9763742751332432,0,0,0.08333333333333333,-0.0,0.4,True
2026-06,262929,22,13,3.5157593350700034,5,2.321909814444666,59629,18253,1,-0.0,2,0.9766346966488596,0,0,0.07692307692307693,-0.0,0.4,True
2026-07,275062,23,12,3.414214382864618,5,2.3219131247716525,11950,9702,1,-0.0,2,0.977022578532774,0,0,0.08333333333333333,-0.0,0.4,True
2026-08,251003,21,13,3.594439726189325,5,2.321909809381927,35835,21238,1,-0.0,2,0.9780408073489838,0,0,0.07692307692307693,-0.0,0.4,True
2026-09,262989,22,11,3.3909691211513713,5,2.321910513848343,59681,24988,1,-0.0,2,0.9775346231337092,0,0,0.09090909090909091,-0.0,0.4,True
2026-10,263098,22,11,3.243042305470492,5,2.321912006686421,0,2611,1,-0.0,2,0.9781664382105726,0,0,0.09090909090909091,-0.0,0.4,True
2026-11,250973,21,14,3.689269901308361,5,2.3219087462881527,35785,14547,1,-0.0,2,0.9771511393257116,0,0,0.07142857142857142,-0.0,0.4,True
2026-12,167274,14,7,2.5486867794417183,5,2.3219023637189027,23833,7826,1,-0.0,2,0.977914810475874,0,0,0.14285714285714285,-0.0,0.4,True
