trade_month,trade_date,regime_code,source_rows,market_shock_rows,symbol_shock_rows,feed_profiles_on_day,selection_reason
2026-01,2026-01-01,D04,11980,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-02,D12,11927,11927,1485,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-06,D01,11971,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-07,D07,11942,11942,4853,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-09,D15,11955,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-13,D03,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-15,D08,11975,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-19,D02,11964,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-22,D10,11975,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-26,D17,11930,0,1864,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-01,2026-01-30,D06,11966,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-04,D05,11973,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-05,D03,11962,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-10,D06,11960,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-13,D20,11919,11919,2984,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-17,D19,11952,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-18,D02,11965,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-19,D12,11925,0,748,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-20,D04,11972,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-23,D18,11942,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-24,D13,11946,11946,3734,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-25,D01,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-02,2026-02-27,D07,11920,11920,6335,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-02,D06,11980,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-03,D11,11971,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-04,D09,11958,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-05,D17,11921,0,746,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-06,D05,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-12,D18,11907,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-13,D07,11908,11908,5215,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-16,D02,11968,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-19,D01,11966,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-20,D03,11955,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-30,D12,11925,11925,741,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-03,2026-03-31,D04,11979,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-01,D05,11932,11932,373,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-02,D07,11917,11917,3350,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-06,D13,11943,0,2975,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-07,D04,11966,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-08,D02,11968,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-13,D15,11959,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-14,D01,11967,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-17,D18,11932,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-20,D08,11972,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-28,D06,11957,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-04,2026-04-29,D12,11921,0,2237,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-05,D19,11965,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-08,D04,11923,11923,1117,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-13,D09,11952,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-14,D12,11928,0,1865,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-18,D08,11940,11940,376,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-20,D03,11967,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-21,D01,11965,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-22,D05,11958,11958,375,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-25,D18,11961,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-26,D15,11973,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-27,D11,11959,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-05,2026-05-28,D02,11972,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-02,D10,11972,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-03,D01,11926,11926,371,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-04,D19,11972,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-10,D03,11973,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-11,D04,11971,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-12,D20,11925,11925,6341,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-16,D18,11958,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-17,D02,11977,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-18,D06,11948,11948,745,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-19,D17,11940,0,1865,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-23,D05,11954,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-06,2026-06-25,D08,11928,11928,746,5,one_representative_source_day_per_regime_prefer_shock_then_rows
