trade_month,trade_date,feed_profile,source_event_bar_id,symbols_present,total_source_events,min_source_events_in_bar,regimes,market_shock_bar,symbol_shock_symbols,expected_symbols,coverage_fraction,coverage_pass
2026-01,2026-01-01,disconnect_scenario,0,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,disconnect_scenario,1,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,disconnect_scenario,2,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,disconnect_scenario,3,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,disconnect_scenario,4,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,disconnect_scenario,5,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,disconnect_scenario,6,32,318,8,1,0,0,32,1.0,True
2026-01,2026-01-01,disconnect_scenario,7,4,20,5,1,0,0,32,0.125,False
2026-01,2026-01-01,good_retail,0,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,good_retail,1,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,good_retail,2,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,good_retail,3,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,good_retail,4,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,good_retail,5,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,good_retail,6,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,good_retail,7,28,140,5,1,0,0,32,0.875,False
2026-01,2026-01-01,ideal_research,0,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,ideal_research,1,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,ideal_research,2,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,ideal_research,3,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,ideal_research,4,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,ideal_research,5,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,ideal_research,6,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,ideal_research,7,32,160,5,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,0,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,1,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,2,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,3,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,4,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,5,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,6,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,normal_retail,7,20,100,5,1,0,0,32,0.625,False
2026-01,2026-01-01,stressed_retail,0,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,stressed_retail,1,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,stressed_retail,2,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,stressed_retail,3,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,stressed_retail,4,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,stressed_retail,5,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,stressed_retail,6,32,320,10,1,0,0,32,1.0,True
2026-01,2026-01-01,stressed_retail,7,7,35,5,1,0,0,32,0.21875,False
2026-01,2026-01-02,disconnect_scenario,0,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,disconnect_scenario,1,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,disconnect_scenario,2,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,disconnect_scenario,3,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,disconnect_scenario,4,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,disconnect_scenario,5,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,disconnect_scenario,6,32,309,7,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,0,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,1,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,2,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,3,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,4,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,5,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,6,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,good_retail,7,25,125,5,1,1,3,32,0.78125,False
2026-01,2026-01-02,ideal_research,0,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,ideal_research,1,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,ideal_research,2,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,ideal_research,3,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,ideal_research,4,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,ideal_research,5,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,ideal_research,6,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,ideal_research,7,32,160,5,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,0,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,1,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,2,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,3,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,4,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,5,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,6,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,normal_retail,7,22,110,5,1,1,2,32,0.6875,False
2026-01,2026-01-02,stressed_retail,0,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,stressed_retail,1,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,stressed_retail,2,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,stressed_retail,3,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,stressed_retail,4,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,stressed_retail,5,32,320,10,1,1,4,32,1.0,True
2026-01,2026-01-02,stressed_retail,6,32,318,9,1,1,4,32,1.0,True
2026-01,2026-01-06,disconnect_scenario,0,32,320,10,1,0,0,32,1.0,True
