candidate_id,family_id,split,trade_month,trades,symbols,net_pnl_inr,gross_pnl_inr,cost_pnl_drag_inr,precision_cost_clear
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_99_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-09,15,6,16088.700392705932,18350.298556584286,2261.598163878357,0.8
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_99_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-09,17,7,17378.75032125921,19941.649794330828,2562.899473071621,0.8235294117647058
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_975_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-09,33,13,35181.51676386202,39958.895185215726,4777.378421353708,0.9090909090909091
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_975_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-09,35,13,36471.5666924153,41550.246422962264,5078.679730546972,0.9142857142857143
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_975_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-12,4,1,-1895.1263444015633,-1337.562051847785,557.5642925537783,0.0
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-09,36,13,40670.93038022053,45892.83366592608,5221.903285705548,0.9166666666666666
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_99,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-12,3,1,459.2417432884715,892.7122220419249,433.4704787534532,1.0
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-09,46,14,51257.17988699182,58008.44705601985,6751.267169028033,0.8913043478260869
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,test,2026-12,23,7,-4287.896356258649,-995.9087155962276,3291.9876406624207,0.391304347826087
P86_INTENSITY_MOMENTUM_CONTINUATION_I0_95_M0_975,P86_INTENSITY_MOMENTUM_CONTINUATION,train,2026-06,8,2,-3049.2844863633277,-1900.5871541101337,1148.697332253194,0.0
P86_INTENSITY_MEAN_REVERSION_I0_99_M0_99,P86_INTENSITY_MEAN_REVERSION,test,2026-09,15,6,-20611.896720462646,-18350.298556584286,2261.598163878357,0.2
P86_INTENSITY_MEAN_REVERSION_I0_99_M0_975,P86_INTENSITY_MEAN_REVERSION,test,2026-09,17,7,-22504.54926740245,-19941.649794330828,2562.899473071621,0.17647058823529413
P86_INTENSITY_MEAN_REVERSION_I0_975_M0_99,P86_INTENSITY_MEAN_REVERSION,test,2026-09,33,13,-44736.27360656943,-39958.895185215726,4777.378421353708,0.09090909090909091
P86_INTENSITY_MEAN_REVERSION_I0_975_M0_975,P86_INTENSITY_MEAN_REVERSION,test,2026-09,35,13,-46628.92615350924,-41550.246422962264,5078.679730546972,0.08571428571428572
P86_INTENSITY_MEAN_REVERSION_I0_975_M0_975,P86_INTENSITY_MEAN_REVERSION,test,2026-12,4,1,779.9977592940068,1337.562051847785,557.5642925537783,0.5
P86_INTENSITY_MEAN_REVERSION_I0_95_M0_99,P86_INTENSITY_MEAN_REVERSION,test,2026-09,36,13,-51114.73695163163,-45892.83366592608,5221.903285705548,0.08333333333333333
P86_INTENSITY_MEAN_REVERSION_I0_95_M0_99,P86_INTENSITY_MEAN_REVERSION,test,2026-12,3,1,-1326.182700795378,-892.7122220419249,433.4704787534532,0.0
P86_INTENSITY_MEAN_REVERSION_I0_95_M0_975,P86_INTENSITY_MEAN_REVERSION,test,2026-09,46,14,-64759.71422504789,-58008.44705601985,6751.267169028033,0.10869565217391304
P86_INTENSITY_MEAN_REVERSION_I0_95_M0_975,P86_INTENSITY_MEAN_REVERSION,test,2026-12,23,7,-2296.078925066193,995.9087155962276,3291.9876406624207,0.21739130434782608
P86_INTENSITY_MEAN_REVERSION_I0_95_M0_975,P86_INTENSITY_MEAN_REVERSION,train,2026-06,8,2,751.8898218569398,1900.5871541101337,1148.697332253194,1.0
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-07,4,1,2202.3255978779325,2851.4588859416044,649.1332880636718,1.0
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-08,25,19,56109.07667678941,60136.148098629696,4027.071421840285,1.0
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-09,25,7,-40092.38872315543,-36244.78240247256,3847.6063206828653,0.12
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-11,5,3,-3637.578737133355,-2703.7652223792284,933.8135147541263,0.0
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-12,34,12,27082.569289428633,32358.21914240551,5275.649852976878,0.9411764705882353
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-01,41,10,-99047.43817518184,-92151.51420486541,6895.923970316439,0.0
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-02,5,3,-3637.578737133355,-2703.7652223792284,933.8135147541263,0.0
