candidate_id,family_id,feature_column,direction_rule,target_universe,feature_abs_quantile,feature_abs_threshold,intensity_column,intensity_abs_quantile,intensity_abs_threshold,max_taker_round_trip_cost_floor_bps,train_months,test_months,train_trades,train_symbols,train_net_pnl_inr,train_gross_pnl_inr,train_cost_pnl_drag_inr,train_precision_cost_clear,train_positive_months,train_max_month_contribution_abs,train_max_symbol_contribution_abs,train_cost_drag_to_abs_gross_ratio,test_trades,test_symbols,test_net_pnl_inr,test_gross_pnl_inr,test_cost_pnl_drag_inr,test_precision_cost_clear,test_positive_months,test_max_month_contribution_abs,test_max_symbol_contribution_abs,test_cost_drag_to_abs_gross_ratio,train_pass,test_pass,phase91_candidate_pass
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.9,0.3872596841202421,x_sector_regime_intensity,0.9,54.13180942749577,11.350734056720256,6,5,180,1,-7116.872225067618,12056.281034900581,19173.153259968203,0.5,2,3.1122615385420827,1.0,1.5903041082457903,242,1,34608.98928122031,60370.78968230324,25761.800401082925,0.5785123966942148,3,0.854164844117238,1.0000000000000002,0.4267262452032261,False,False,False
P90_SECTOR_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.95,0.6215265281268952,x_sector_regime_intensity,0.75,36.173123616252106,11.350734056720256,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,0,0,0.0,0.0,0.0,0.0,0,,,,False,False,False
P90_SECTOR_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.95,0.6215265281268952,x_sector_regime_intensity,0.9,54.13180942749577,11.350734056720256,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,0,0,0.0,0.0,0.0,0.0,0,,,,False,False,False
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_9,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.9,0.6831711583141453,sector_event_intensity,0.9,161.6,11.350734056720256,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,0,0,0.0,0.0,0.0,0.0,0,,,,False,False,False
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_95_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.95,1.31842640583052,sector_event_intensity,0.75,144.18,11.350734056720256,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,0,0,0.0,0.0,0.0,0.0,0,,,,False,False,False
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_95_I0_9,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.95,1.31842640583052,sector_event_intensity,0.9,161.6,11.350734056720256,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,0,0,0.0,0.0,0.0,0.0,0,,,,False,False,False
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.9,0.6831711583141453,sector_event_intensity,0.75,144.18,11.350734056720256,6,5,91,1,-1920.6885890850867,7707.90771373664,9628.596302821725,0.5604395604395604,3,5.990796894171431,1.0,1.2491841703893434,137,1,-9102.533994772884,5477.285944185569,14579.819938958455,0.5036496350364964,2,2.138758065082943,0.9999999999999998,2.661869416263672,False,False,False
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.95,0.0619223678557695,x_market_regime_intensity,0.9,7.805425015524634,11.350734056720256,6,6,772,3,-74071.09214930347,3818.4566771308237,77889.5488264343,0.49740932642487046,1,0.5743625210550078,0.9815896576133161,20.398175339509223,812,4,-37942.79092260999,43268.22451281767,81211.01543542766,0.5061576354679803,2,1.0647712934498703,0.9316372085779253,1.8769204502803185,False,False,False
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.9,0.3872596841202421,x_sector_regime_intensity,0.75,36.173123616252106,11.350734056720256,6,6,940,1,-75372.14530911608,23900.5681879078,99272.71349702387,0.4297872340425532,1,0.34929262569212816,1.0,4.1535712756506635,1034,1,-48874.943816194966,60395.879971470786,109270.82378766575,0.437137330754352,3,0.8057115515737884,1.0,1.809243011928662,False,False,False
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.9,0.0554488955490816,x_market_regime_intensity,0.9,7.805425015524634,11.350734056720256,6,6,1452,7,-115272.42213026626,31710.51085772863,146982.93298799492,0.4965564738292011,2,0.828453800119581,0.6502252847173063,4.635148693991209,1703,10,-58931.84860639705,113274.52284548199,172206.37145187904,0.4961832061068702,3,1.2193561202467305,0.9975878908486826,1.520256869117746,False,False,False
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.95,0.0619223678557695,x_market_regime_intensity,0.75,6.544386619547897,11.350734056720256,6,6,1263,3,-96188.81520436142,29220.613686163764,125409.42889052519,0.48139350752177357,1,0.3927002166548998,0.9858330032772341,4.2918136572165055,1311,4,-112951.67211086926,15626.215607626444,128577.88771849571,0.4279176201372998,2,0.4633351010874165,0.9547274277073405,8.228344657918498,False,False,False
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.9,0.0554488955490816,x_market_regime_intensity,0.75,6.544386619547897,11.350734056720256,6,6,3164,9,-229104.4699221424,86819.34190622179,315923.81182836427,0.4608091024020228,1,0.3263364150128096,0.7016141411407643,3.6388643923333404,3384,10,-245422.80805926278,91522.67104023696,336945.47909949976,0.4364657210401891,2,0.5822911155317619,0.7116873044432213,3.681552070867395,False,False,False
