candidate_id,family_id,feature_column,direction_rule,target_universe,feature_abs_quantile,feature_abs_threshold,intensity_column,intensity_abs_quantile,intensity_abs_threshold,max_taker_round_trip_cost_floor_bps,train_months,test_months
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.9,0.0554488955490816,x_market_regime_intensity,0.75,6.544386619547897,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.9,0.0554488955490816,x_market_regime_intensity,0.9,7.805425015524634,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.95,0.0619223678557695,x_market_regime_intensity,0.75,6.544386619547897,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,x_market_l5_ex_target,side = sign(x_market_l5_ex_target),equities_only,0.95,0.0619223678557695,x_market_regime_intensity,0.9,7.805425015524634,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.9,0.3872596841202421,x_sector_regime_intensity,0.75,36.173123616252106,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.9,0.3872596841202421,x_sector_regime_intensity,0.9,54.13180942749577,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SECTOR_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.95,0.6215265281268952,x_sector_regime_intensity,0.75,36.173123616252106,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SECTOR_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,x_sector_l5_ex_target,side = sign(x_sector_l5_ex_target),equities_only_with_sector_symbol_count_ge_3,0.95,0.6215265281268952,x_sector_regime_intensity,0.9,54.13180942749577,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.9,0.6831711583141453,sector_event_intensity,0.75,144.18,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_9,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.9,0.6831711583141453,sector_event_intensity,0.9,161.6,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_95_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.95,1.31842640583052,sector_event_intensity,0.75,144.18,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_95_I0_9,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,x_symbol_vs_sector_l1,side = -sign(x_symbol_vs_sector_l1),equities_only_with_sector_symbol_count_ge_3,0.95,1.31842640583052,sector_event_intensity,0.9,161.6,11.350734056720256,2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,2026-07|2026-08|2026-09|2026-10|2026-11|2026-12
