model_id,model_name,model_type,simulation_seed,rows_evaluated,trades,signal_fraction,mean_gross_return_proxy,win_rate_proxy,total_gross_pnl_units_proxy,acceptance_ready,pilot_status,caveat
S01,Momentum/breakout filtered by MLOFI,strategy,910001,239173,89313,0.3734242577548469,-0.0003308604083267482,0.4425335617435312,-29.55013564888686,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S02,Pure multi-level OFI directional model,strategy,910001,239173,220397,0.9214961555025024,-9.231740015725651e-05,0.4770028630153768,-20.346478042458862,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S03,Liquidity-vacuum breakout,strategy,910001,239173,19888,0.08315319873062595,-0.00021400221302325046,0.4624396621078037,-4.256076012606405,False,medium_pilot_proxy_not_acceptance,partial_missing_required_features medium-pilot proxy over 5-minute features; not acceptance-grade.
S04,Trade-flow plus depth confirmation,strategy,910001,239173,89702,0.3750506955216517,-0.00016200514725754527,0.4792200842790573,-14.532185719296326,False,medium_pilot_proxy_not_acceptance,partial_missing_required_features medium-pilot proxy over 5-minute features; not acceptance-grade.
S05,Microprice entry/exit filter,strategy,910001,239173,229247,0.9584986599657989,-1.9614621100767384e-05,0.4873738805742278,-4.4965930434876205,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S01,Momentum/breakout filtered by MLOFI,strategy,910002,239173,89313,0.3734242577548469,-0.0003308604083267482,0.4425335617435312,-29.55013564888686,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S02,Pure multi-level OFI directional model,strategy,910002,239173,220397,0.9214961555025024,-9.231740015725651e-05,0.4770028630153768,-20.346478042458862,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S03,Liquidity-vacuum breakout,strategy,910002,239173,19888,0.08315319873062595,-0.00021400221302325046,0.4624396621078037,-4.256076012606405,False,medium_pilot_proxy_not_acceptance,partial_missing_required_features medium-pilot proxy over 5-minute features; not acceptance-grade.
S04,Trade-flow plus depth confirmation,strategy,910002,239173,89702,0.3750506955216517,-0.00016200514725754527,0.4792200842790573,-14.532185719296326,False,medium_pilot_proxy_not_acceptance,partial_missing_required_features medium-pilot proxy over 5-minute features; not acceptance-grade.
S05,Microprice entry/exit filter,strategy,910002,239173,229247,0.9584986599657989,-1.9614621100767384e-05,0.4873738805742278,-4.4965930434876205,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S01,Momentum/breakout filtered by MLOFI,strategy,910003,239173,89313,0.3734242577548469,-0.0003308604083267482,0.4425335617435312,-29.55013564888686,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S02,Pure multi-level OFI directional model,strategy,910003,239173,220397,0.9214961555025024,-9.231740015725651e-05,0.4770028630153768,-20.346478042458862,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
S03,Liquidity-vacuum breakout,strategy,910003,239173,19888,0.08315319873062595,-0.00021400221302325046,0.4624396621078037,-4.256076012606405,False,medium_pilot_proxy_not_acceptance,partial_missing_required_features medium-pilot proxy over 5-minute features; not acceptance-grade.
S04,Trade-flow plus depth confirmation,strategy,910003,239173,89702,0.3750506955216517,-0.00016200514725754527,0.4792200842790573,-14.532185719296326,False,medium_pilot_proxy_not_acceptance,partial_missing_required_features medium-pilot proxy over 5-minute features; not acceptance-grade.
S05,Microprice entry/exit filter,strategy,910003,239173,229247,0.9584986599657989,-1.9614621100767384e-05,0.4873738805742278,-4.4965930434876205,False,medium_pilot_proxy_not_acceptance,runnable_proxy medium-pilot proxy over 5-minute features; not acceptance-grade.
